2017-03-14 14:04:36.017 stock 华电国际, 价格:509, 总笔数:30 逐笔量：28304,11800,18000,99800,2200,200,2000,2600,1000,100,2000,1600,1000,1000,2800,1800,1000,1000,2100,4500,1000,200,4500,1000,2000,1500,17600,1000,200,4000,
2017-03-14 14:04:36.018 stock 华电国际, 价格:510, 总笔数:50 逐笔量：23441,1000,4200,6300,20000,3700,5000,3000,4700,1000,39300,10000,1000,3700,20000,3300,51500,10000,1900,5000,1000,20000,7700,1300,3000,5000,2000,2000,3500,3000,5000,400,1100,1000,2000,10000,3100,2000,5000,21000,2000,1000,5000,5900,10000,300,2000,10000,10000,3500,
2017-03-14 14:04:49.635 stock 华电国际, 价格:509, 总笔数:31 逐笔量：28304,11800,18000,99800,2200,200,2000,2600,1000,100,2000,1600,1000,1000,2800,1800,1000,1000,2100,4500,1000,200,4500,1000,2000,1500,17600,1000,200,4000,2000,
2017-03-14 14:04:49.635 stock 华电国际, 价格:510, 总笔数:50 逐笔量：23441,1000,4200,6300,20000,3700,5000,3000,4700,1000,39300,10000,1000,3700,20000,3300,51500,10000,1900,5000,1000,20000,7700,1300,3000,5000,2000,2000,3500,3000,5000,400,1100,2000,10000,3100,2000,5000,21000,2000,1000,5000,5900,10000,300,2000,10000,10000,3500,1000,
2017-03-14 14:04:51.770 stock 华电国际, 价格:509, 总笔数:31 逐笔量：28304,11800,18000,99800,2200,200,2000,2600,1000,100,2000,1600,1000,1000,2800,1800,1000,1000,2100,4500,1000,200,4500,1000,2000,1500,17600,1000,200,4000,2000,
2017-03-14 14:04:51.770 stock 华电国际, 价格:510, 总笔数:50 逐笔量：21641,1000,4200,6300,20000,3700,5000,3000,4700,1000,39300,10000,1000,3700,20000,3300,51500,10000,1900,5000,1000,20000,7700,1300,3000,5000,2000,2000,3500,3000,5000,400,1100,2000,10000,3100,2000,5000,21000,2000,1000,5000,5900,10000,300,2000,10000,10000,3500,1000,
2017-03-14 14:04:53.580 stock 华电国际, 价格:509, 总笔数:32 逐笔量：27404,11800,18000,99800,2200,200,2000,2600,1000,100,2000,1600,1000,1000,2800,1800,1000,1000,2100,4500,1000,200,4500,1000,2000,1500,17600,1000,200,4000,2000,4000,
2017-03-14 14:04:53.580 stock 华电国际, 价格:510, 总笔数:50 逐笔量：21641,1000,4200,6300,20000,3700,5000,3000,4700,1000,39300,10000,1000,3700,20000,3300,51500,10000,1900,5000,1000,20000,7700,1300,3000,5000,2000,2000,3500,3000,5000,400,1100,2000,10000,3100,2000,5000,21000,2000,1000,5000,5900,10000,300,2000,10000,10000,3500,1000,
2017-03-14 14:04:55.331 stock 华电国际, 价格:509, 总笔数:32 逐笔量：27404,11800,18000,99800,2200,200,2000,2600,1000,100,2000,1600,1000,1000,2800,1800,1000,1000,2100,4500,1000,200,4500,1000,2000,1500,17600,1000,200,4000,2000,4000,
2017-03-14 14:04:55.332 stock 华电国际, 价格:510, 总笔数:50 逐笔量：21641,1000,4200,6300,20000,3700,5000,3000,4700,1000,39300,10000,1000,3700,20000,3300,51500,10000,1900,5000,1000,20000,7700,1300,3000,5000,2000,2000,3500,3000,5000,400,1100,2000,10000,3100,2000,5000,21000,2000,1000,5000,5900,10000,300,2000,10000,10000,3500,1000,
2017-03-14 14:04:57.067 stock 华电国际, 价格:509, 总笔数:32 逐笔量：27404,11800,18000,99800,2200,200,2000,2600,1000,100,2000,1600,1000,1000,2800,1800,1000,1000,2100,4500,1000,200,4500,1000,2000,1500,17600,1000,200,4000,2000,4000,
2017-03-14 14:04:57.067 stock 华电国际, 价格:510, 总笔数:50 逐笔量：21641,1000,4200,6300,20000,3700,5000,3000,4700,1000,39300,10000,1000,3700,20000,3300,51500,10000,1900,5000,1000,20000,7700,1300,3000,5000,2000,2000,3500,3000,5000,400,1100,2000,10000,3100,2000,5000,21000,2000,1000,5000,5900,10000,300,2000,10000,10000,3500,1000,
2017-03-14 14:04:59.254 stock 华电国际, 价格:509, 总笔数:29 逐笔量：97004,2200,200,2000,2600,1000,100,2000,1600,1000,1000,2800,1800,1000,1000,2100,4500,1000,200,4500,1000,2000,1500,17600,1000,200,4000,2000,4000,
2017-03-14 14:04:59.255 stock 华电国际, 价格:510, 总笔数:50 逐笔量：21641,1000,4200,6300,20000,3700,5000,3000,4700,1000,39300,10000,1000,3700,20000,3300,51500,10000,1900,5000,1000,20000,7700,1300,3000,5000,2000,2000,3500,3000,5000,400,1100,2000,10000,3100,2000,5000,21000,2000,1000,5000,5900,10000,300,2000,10000,10000,3500,1000,
