2017-03-14 14:04:36.052 stock 宋都股份, 价格:540, 总笔数:17 逐笔量：2734,2000,1900,1000,900,1500,100,1000,100,5000,1000,100,2000,2400,1000,100,300,
2017-03-14 14:04:36.052 stock 宋都股份, 价格:541, 总笔数:20 逐笔量：9199,200,2000,100,100,100,200,100,100,200,100,100,300,100,15600,15600,100,100,800,600,
2017-03-14 14:04:49.534 stock 宋都股份, 价格:540, 总笔数:16 逐笔量：734,1900,1000,900,1500,100,1000,100,5000,1000,100,2000,2400,1000,100,300,
2017-03-14 14:04:49.535 stock 宋都股份, 价格:541, 总笔数:20 逐笔量：9199,200,2000,100,100,100,200,100,100,200,100,100,300,100,15600,15600,100,100,800,600,
2017-03-14 14:04:51.564 stock 宋都股份, 价格:540, 总笔数:16 逐笔量：634,1900,1000,900,1500,100,1000,100,5000,1000,100,2000,2400,1000,100,300,
2017-03-14 14:04:51.565 stock 宋都股份, 价格:541, 总笔数:20 逐笔量：9199,200,2000,100,100,100,200,100,100,200,100,100,300,100,15600,15600,100,100,800,600,
2017-03-14 14:04:53.484 stock 宋都股份, 价格:539, 总笔数:50 逐笔量：12027,200,100,400,200,10000,2000,900,1900,1000,2000,1000,3100,1500,600,2900,1000,1000,1300,300,10000,1000,1100,2600,2000,10000,2000,5000,10900,100,2000,200,2000,100,20000,5800,100,300,1000,600,3600,3000,700,185500,50000,500,2000,1000,400,4000,
2017-03-14 14:04:53.484 stock 宋都股份, 价格:540, 总笔数:2 逐笔量：966,9000,
2017-03-14 14:04:55.579 stock 宋都股份, 价格:539, 总笔数:50 逐笔量：12027,200,100,400,200,10000,2000,900,1900,1000,2000,1000,3100,1500,600,2900,1000,1000,1300,300,10000,1000,1100,2600,2000,10000,2000,5000,10900,100,2000,200,2000,100,20000,5800,100,300,1000,600,3600,3000,700,185500,50000,500,2000,1000,400,4000,
2017-03-14 14:04:55.579 stock 宋都股份, 价格:540, 总笔数:2 逐笔量：966,9000,
2017-03-14 14:04:56.956 stock 宋都股份, 价格:539, 总笔数:50 逐笔量：12027,200,100,400,200,10000,2000,900,1900,1000,2000,1000,3100,1500,600,2900,1000,1000,1300,300,10000,1000,1100,2600,2000,10000,2000,5000,10900,100,2000,200,2000,100,20000,5800,100,300,1000,600,3600,3000,700,185500,50000,500,2000,1000,400,4000,
2017-03-14 14:04:56.956 stock 宋都股份, 价格:540, 总笔数:3 逐笔量：966,9000,800,
2017-03-14 14:04:59.051 stock 宋都股份, 价格:539, 总笔数:50 逐笔量：12027,200,100,400,200,10000,2000,900,1900,1000,2000,1000,3100,1500,600,2900,1000,1000,1300,300,10000,1000,1100,2600,2000,10000,2000,5000,10900,100,2000,200,2000,100,20000,5800,100,300,1000,600,3600,3000,700,185500,50000,500,2000,1000,400,4000,
2017-03-14 14:04:59.051 stock 宋都股份, 价格:540, 总笔数:3 逐笔量：966,9000,800,
