2017-03-14 14:04:36.075 stock 同方股份, 价格:1391, 总笔数:8 逐笔量：39544,2400,1000,1100,2000,12200,2000,1800,
2017-03-14 14:04:36.076 stock 同方股份, 价格:1392, 总笔数:21 逐笔量：1543,100,1000,2000,800,2000,6500,2600,1400,500,700,100,1900,2000,8000,500,2000,2000,1000,1200,3000,
2017-03-14 14:04:49.736 stock 同方股份, 价格:1391, 总笔数:9 逐笔量：39544,2400,1000,1100,2000,12200,2000,1800,4900,
2017-03-14 14:04:49.736 stock 同方股份, 价格:1392, 总笔数:21 逐笔量：1543,100,1000,2000,800,2000,6500,2600,1400,500,700,100,1900,2000,8000,500,2000,2000,1000,1200,3000,
2017-03-14 14:04:52.005 stock 同方股份, 价格:1391, 总笔数:9 逐笔量：39544,2400,1000,1100,2000,12200,2000,1800,4900,
2017-03-14 14:04:52.005 stock 同方股份, 价格:1392, 总笔数:22 逐笔量：1543,100,1000,2000,800,2000,6500,2600,1400,500,700,100,1900,2000,8000,500,2000,2000,1000,1200,3000,200,
2017-03-14 14:04:53.704 stock 同方股份, 价格:1391, 总笔数:9 逐笔量：39544,2400,1000,1100,2000,12200,2000,1800,4900,
2017-03-14 14:04:53.704 stock 同方股份, 价格:1392, 总笔数:22 逐笔量：1543,100,1000,2000,800,2000,6500,2600,1400,500,700,100,1900,2000,8000,500,2000,2000,1000,1200,3000,200,
2017-03-14 14:04:55.765 stock 同方股份, 价格:1391, 总笔数:9 逐笔量：39544,2400,1000,1100,2000,12200,2000,1800,4900,
2017-03-14 14:04:55.766 stock 同方股份, 价格:1392, 总笔数:22 逐笔量：143,100,1000,2000,800,2000,6500,2600,1400,500,700,100,1900,2000,8000,500,2000,2000,1000,1200,3000,200,
2017-03-14 14:04:57.546 stock 同方股份, 价格:1391, 总笔数:9 逐笔量：39544,2400,1000,1100,2000,12200,2000,1800,4900,
2017-03-14 14:04:57.546 stock 同方股份, 价格:1392, 总笔数:22 逐笔量：143,100,1000,2000,800,2000,6500,2600,1400,500,700,100,1900,2000,8000,500,2000,2000,1000,1200,3000,200,
