2017-03-14 14:04:36.098 stock 三峡水利, 价格:959, 总笔数:4 逐笔量：97,800,500,2500,
2017-03-14 14:04:36.100 stock 三峡水利, 价格:960, 总笔数:50 逐笔量：500,500,2600,500,1100,1000,2000,500,1000,2000,12000,6000,20000,500,300,10000,300,300,5600,2600,200,2600,2200,500,2000,2400,2000,1000,1000,800,400,2000,2400,500,300,500,500,2000,6200,2100,500,200,4800,700,1300,2000,100,100,500,5000,
2017-03-14 14:04:49.737 stock 三峡水利, 价格:959, 总笔数:1 逐笔量：1197,
2017-03-14 14:04:49.737 stock 三峡水利, 价格:960, 总笔数:50 逐笔量：500,500,2600,500,1100,1000,2000,500,1000,2000,12000,6000,20000,500,300,10000,300,300,5600,2600,200,2600,2200,500,2000,2400,2000,1000,1000,800,400,2000,2400,500,300,500,500,2000,6200,2100,500,200,4800,700,1300,2000,100,100,500,5000,
2017-03-14 14:04:52.006 stock 三峡水利, 价格:959, 总笔数:2 逐笔量：1197,5000,
2017-03-14 14:04:52.006 stock 三峡水利, 价格:960, 总笔数:50 逐笔量：500,500,2600,500,1100,1000,2000,500,1000,2000,12000,6000,20000,500,300,10000,300,300,5600,2600,200,2600,2200,500,2000,2400,2000,1000,1000,800,400,2000,2400,500,300,500,500,2000,6200,2100,500,200,4800,700,1300,2000,100,100,500,5000,
2017-03-14 14:04:53.705 stock 三峡水利, 价格:959, 总笔数:3 逐笔量：1197,5000,1000,
2017-03-14 14:04:53.706 stock 三峡水利, 价格:960, 总笔数:50 逐笔量：500,500,2600,500,1100,1000,2000,500,1000,2000,12000,6000,20000,500,300,10000,300,300,5600,2600,200,2600,2200,500,2000,2400,2000,1000,1000,800,400,2000,2400,500,300,500,500,2000,6200,2100,500,200,4800,700,1300,2000,100,100,500,5000,
2017-03-14 14:04:55.767 stock 三峡水利, 价格:959, 总笔数:5 逐笔量：1197,5000,1000,500,5000,
2017-03-14 14:04:55.768 stock 三峡水利, 价格:960, 总笔数:50 逐笔量：500,500,2600,500,1100,1000,2000,500,1000,2000,12000,6000,20000,500,300,10000,300,300,5600,2600,200,2600,2200,500,2000,2400,2000,1000,1000,800,400,2000,2400,500,300,500,500,2000,6200,2100,500,200,4800,700,1300,2000,100,100,500,5000,
2017-03-14 14:04:57.547 stock 三峡水利, 价格:959, 总笔数:5 逐笔量：1197,5000,1000,500,5000,
2017-03-14 14:04:57.547 stock 三峡水利, 价格:960, 总笔数:50 逐笔量：500,500,2600,500,1100,1000,2000,500,1000,2000,12000,6000,20000,500,300,10000,300,300,5600,2600,200,2600,2200,500,2000,2400,2000,1000,1000,800,400,2000,2400,500,300,500,500,2000,6200,2100,500,200,4800,700,1300,2000,100,100,500,5000,
2017-03-14 14:04:59.406 stock 三峡水利, 价格:959, 总笔数:5 逐笔量：1197,5000,1000,500,5000,
2017-03-14 14:04:59.406 stock 三峡水利, 价格:960, 总笔数:50 逐笔量：500,500,2600,500,1100,1000,2000,500,1000,2000,12000,6000,20000,500,300,10000,300,300,5600,2600,200,2600,2200,500,2000,2400,2000,1000,1000,800,400,2000,2400,500,300,500,500,2000,6200,2100,500,200,4800,700,1300,2000,100,100,500,5000,
