2017-03-14 14:04:36.134 stock 岷江水电, 价格:1083, 总笔数:3 逐笔量：10900,200,3200,
2017-03-14 14:04:36.134 stock 岷江水电, 价格:1084, 总笔数:4 逐笔量：6800,2900,200,100,
2017-03-14 14:04:49.299 stock 岷江水电, 价格:1083, 总笔数:4 逐笔量：10900,200,3200,600,
2017-03-14 14:04:49.299 stock 岷江水电, 价格:1084, 总笔数:6 逐笔量：6800,2900,200,100,100,500,
2017-03-14 14:04:51.651 stock 岷江水电, 价格:1083, 总笔数:4 逐笔量：10900,200,3200,600,
2017-03-14 14:04:51.651 stock 岷江水电, 价格:1084, 总笔数:6 逐笔量：6800,2900,200,100,100,500,
2017-03-14 14:04:53.262 stock 岷江水电, 价格:1083, 总笔数:4 逐笔量：10900,200,3200,600,
2017-03-14 14:04:53.262 stock 岷江水电, 价格:1084, 总笔数:7 逐笔量：6800,2900,200,100,100,500,1700,
2017-03-14 14:04:55.166 stock 岷江水电, 价格:1083, 总笔数:4 逐笔量：10900,200,3200,600,
2017-03-14 14:04:55.166 stock 岷江水电, 价格:1084, 总笔数:7 逐笔量：6800,2900,200,100,100,500,1700,
2017-03-14 14:04:57.314 stock 岷江水电, 价格:1083, 总笔数:4 逐笔量：10900,200,3200,600,
2017-03-14 14:04:57.314 stock 岷江水电, 价格:1084, 总笔数:7 逐笔量：6800,2900,200,100,100,500,1700,
2017-03-14 14:04:59.126 stock 岷江水电, 价格:1083, 总笔数:4 逐笔量：10900,200,3200,600,
2017-03-14 14:04:59.127 stock 岷江水电, 价格:1084, 总笔数:6 逐笔量：6800,200,100,100,500,1700,
