2017-03-14 14:04:36.179 stock 雅戈尔, 价格:1397, 总笔数:12 逐笔量：815,200,5000,7000,1000,1200,2800,1700,4600,20000,400,300,
2017-03-14 14:04:36.179 stock 雅戈尔, 价格:1399, 总笔数:18 逐笔量：7756,1300,1600,6400,7000,100,2000,400,1000,500,100,500,1000,300,600,100,2000,2000,
2017-03-14 14:04:49.556 stock 雅戈尔, 价格:1397, 总笔数:11 逐笔量：3215,7000,1000,1200,2800,1700,4600,20000,400,300,100,
2017-03-14 14:04:49.557 stock 雅戈尔, 价格:1399, 总笔数:18 逐笔量：7756,1300,1600,6400,7000,100,2000,400,1000,500,100,500,1000,300,600,100,2000,2000,
2017-03-14 14:04:51.571 stock 雅戈尔, 价格:1397, 总笔数:11 逐笔量：3215,7000,1000,1200,2800,1700,4600,20000,400,300,100,
2017-03-14 14:04:51.572 stock 雅戈尔, 价格:1398, 总笔数:1 逐笔量：200,
2017-03-14 14:04:53.500 stock 雅戈尔, 价格:1397, 总笔数:11 逐笔量：3215,7000,1000,1200,2800,1700,4600,20000,400,300,100,
2017-03-14 14:04:53.500 stock 雅戈尔, 价格:1398, 总笔数:1 逐笔量：200,
2017-03-14 14:04:55.622 stock 雅戈尔, 价格:1397, 总笔数:11 逐笔量：3215,7000,1000,1200,2800,1700,4600,20000,400,300,100,
2017-03-14 14:04:55.622 stock 雅戈尔, 价格:1398, 总笔数:1 逐笔量：200,
2017-03-14 14:04:56.960 stock 雅戈尔, 价格:1397, 总笔数:11 逐笔量：3215,7000,1000,1200,2800,1700,4600,20000,400,300,100,
2017-03-14 14:04:56.960 stock 雅戈尔, 价格:1398, 总笔数:2 逐笔量：200,25000,
2017-03-14 14:04:59.055 stock 雅戈尔, 价格:1397, 总笔数:11 逐笔量：3215,7000,1000,1200,2800,1700,4600,20000,400,300,100,
2017-03-14 14:04:59.056 stock 雅戈尔, 价格:1398, 总笔数:2 逐笔量：200,25000,
