2017-03-14 14:04:36.250 stock 升华拜克, 价格:1077, 总笔数:7 逐笔量：4300,300,1000,900,1000,500,9000,
2017-03-14 14:04:36.251 stock 升华拜克, 价格:1079, 总笔数:3 逐笔量：56600,1000,5000,
2017-03-14 14:04:49.234 stock 升华拜克, 价格:1077, 总笔数:8 逐笔量：4300,300,1000,900,1000,500,9000,30000,
2017-03-14 14:04:49.234 stock 升华拜克, 价格:1079, 总笔数:3 逐笔量：56600,1000,5000,
2017-03-14 14:04:51.936 stock 升华拜克, 价格:1077, 总笔数:10 逐笔量：4300,300,1000,900,1000,500,9000,30000,2800,1900,
2017-03-14 14:04:51.936 stock 升华拜克, 价格:1079, 总笔数:3 逐笔量：56600,1000,5000,
2017-03-14 14:04:53.355 stock 升华拜克, 价格:1077, 总笔数:10 逐笔量：3800,300,1000,900,1000,500,9000,30000,2800,1900,
2017-03-14 14:04:53.355 stock 升华拜克, 价格:1079, 总笔数:3 逐笔量：56600,1000,5000,
2017-03-14 14:04:55.259 stock 升华拜克, 价格:1077, 总笔数:10 逐笔量：3800,300,1000,900,1000,500,9000,30000,2800,1900,
2017-03-14 14:04:55.260 stock 升华拜克, 价格:1079, 总笔数:3 逐笔量：56600,1000,5000,
2017-03-14 14:04:57.425 stock 升华拜克, 价格:1077, 总笔数:10 逐笔量：3800,300,1000,900,1000,500,9000,30000,2800,1900,
2017-03-14 14:04:57.425 stock 升华拜克, 价格:1078, 总笔数:1 逐笔量：500,
2017-03-14 14:04:59.348 stock 升华拜克, 价格:1077, 总笔数:3 逐笔量：16500,2800,1900,
2017-03-14 14:04:59.348 stock 升华拜克, 价格:1078, 总笔数:1 逐笔量：500,
