2017-03-14 14:04:36.256 stock 凌钢股份, 价格:342, 总笔数:31 逐笔量：3500,5000,1100,3000,1000,1000,4000,5600,1600,8500,800,5000,2000,2200,9800,500,100,2000,600,1800,7600,1000,15000,10000,900,6400,100,1000,200,10000,900,
2017-03-14 14:04:36.257 stock 凌钢股份, 价格:343, 总笔数:50 逐笔量：16400,1000,20000,300,3200,1900,4000,3000,1000,4600,3000,3000,4000,24700,200,500,51200,400,1000,300,3200,100,50000,400,600,35100,1000,80000,5000,3000,1400,10000,800,400,5000,14200,3000,1000,2000,5000,5000,500,8000,1000,2700,1900,2000,7000,1800,3000,
2017-03-14 14:04:49.745 stock 凌钢股份, 价格:342, 总笔数:28 逐笔量：2600,1000,1000,4000,5600,1600,8500,800,5000,2000,2200,9800,500,100,2000,600,1800,7600,1000,15000,10000,900,6400,100,1000,200,10000,900,
2017-03-14 14:04:49.746 stock 凌钢股份, 价格:343, 总笔数:50 逐笔量：16400,1000,20000,300,3200,1900,4000,3000,1000,4600,3000,3000,4000,24700,200,500,51200,400,1000,300,3200,100,50000,400,600,35100,1000,80000,5000,3000,1400,10000,800,400,5000,14200,3000,1000,2000,5000,5000,500,8000,1000,2700,1900,2000,7000,1800,3000,
2017-03-14 14:04:52.012 stock 凌钢股份, 价格:342, 总笔数:25 逐笔量：3700,5600,1600,8500,800,5000,2000,2200,9800,500,100,2000,600,1800,7600,1000,15000,10000,900,6400,100,1000,200,10000,900,
2017-03-14 14:04:52.012 stock 凌钢股份, 价格:343, 总笔数:50 逐笔量：16400,1000,20000,300,3200,1900,4000,3000,1000,4600,3000,3000,4000,24700,200,500,51200,400,1000,300,3200,100,50000,400,600,35100,1000,80000,5000,3000,1400,10000,800,400,5000,14200,3000,1000,2000,5000,5000,500,8000,1000,2700,1900,2000,7000,1800,3000,
2017-03-14 14:04:53.713 stock 凌钢股份, 价格:342, 总笔数:26 逐笔量：3700,5600,1600,8500,800,5000,2000,2200,9800,500,100,2000,600,1800,7600,1000,15000,10000,900,6400,100,1000,200,10000,900,800,
2017-03-14 14:04:53.713 stock 凌钢股份, 价格:343, 总笔数:50 逐笔量：16400,1000,20000,300,3200,1900,4000,3000,1000,4600,3000,3000,4000,24700,200,500,51200,400,1000,300,3200,100,50000,400,600,35100,1000,80000,5000,3000,1400,10000,800,400,5000,14200,3000,1000,2000,5000,5000,500,8000,1000,2700,1900,2000,7000,1800,3000,
2017-03-14 14:04:55.779 stock 凌钢股份, 价格:342, 总笔数:26 逐笔量：700,5600,1600,8500,800,5000,2000,2200,9800,500,100,2000,600,1800,7600,1000,15000,10000,900,6400,100,1000,200,10000,900,800,
2017-03-14 14:04:55.780 stock 凌钢股份, 价格:343, 总笔数:50 逐笔量：16400,1000,20000,300,3200,1900,4000,3000,1000,4600,3000,3000,4000,24700,200,500,51200,400,1000,300,3200,100,50000,400,600,35100,1000,80000,5000,3000,1400,10000,800,400,5000,14200,3000,1000,2000,5000,5000,500,8000,1000,2700,1900,2000,7000,1800,3000,
2017-03-14 14:04:57.554 stock 凌钢股份, 价格:342, 总笔数:26 逐笔量：700,5600,1600,8500,800,5000,2000,2200,9800,500,100,2000,600,1800,7600,1000,15000,10000,900,6400,100,1000,200,10000,900,800,
2017-03-14 14:04:57.554 stock 凌钢股份, 价格:343, 总笔数:50 逐笔量：16400,1000,20000,300,3200,1900,4000,3000,1000,4600,3000,3000,4000,24700,200,500,51200,400,1000,300,3200,100,50000,400,600,35100,1000,80000,5000,3000,1400,10000,800,400,5000,14200,3000,1000,2000,5000,5000,500,8000,1000,2700,1900,2000,7000,1800,3000,
