2017-03-14 14:04:36.293 stock 太化股份, 价格:812, 总笔数:10 逐笔量：5100,2000,500,5000,1000,10000,2000,1000,3300,600,
2017-03-14 14:04:36.293 stock 太化股份, 价格:813, 总笔数:6 逐笔量：1300,3300,4500,200,16000,20000,
2017-03-14 14:04:49.579 stock 太化股份, 价格:812, 总笔数:9 逐笔量：5100,2000,500,5000,10000,2000,1000,3300,600,
2017-03-14 14:04:49.579 stock 太化股份, 价格:813, 总笔数:6 逐笔量：1300,3300,4500,200,16000,20000,
2017-03-14 14:04:51.576 stock 太化股份, 价格:812, 总笔数:9 逐笔量：5100,2000,500,5000,10000,2000,1000,3300,600,
2017-03-14 14:04:51.577 stock 太化股份, 价格:813, 总笔数:6 逐笔量：1300,3300,4500,200,16000,20000,
2017-03-14 14:04:53.521 stock 太化股份, 价格:812, 总笔数:9 逐笔量：5000,2000,500,5000,10000,2000,1000,3300,600,
2017-03-14 14:04:53.521 stock 太化股份, 价格:813, 总笔数:6 逐笔量：1300,3300,4500,200,16000,20000,
2017-03-14 14:04:55.660 stock 太化股份, 价格:812, 总笔数:9 逐笔量：5000,2000,500,5000,10000,2000,1000,3300,600,
2017-03-14 14:04:55.660 stock 太化股份, 价格:813, 总笔数:6 逐笔量：1300,3300,4500,200,16000,20000,
2017-03-14 14:04:56.968 stock 太化股份, 价格:812, 总笔数:9 逐笔量：5000,2000,500,5000,10000,2000,1000,3300,600,
2017-03-14 14:04:56.968 stock 太化股份, 价格:813, 总笔数:6 逐笔量：800,3300,4500,200,16000,20000,
2017-03-14 14:04:59.062 stock 太化股份, 价格:812, 总笔数:9 逐笔量：5000,2000,500,5000,10000,2000,1000,3300,600,
2017-03-14 14:04:59.062 stock 太化股份, 价格:813, 总笔数:6 逐笔量：200,3300,4500,200,16000,20000,
