2017-03-14 14:04:36.301 stock 安琪酵母, 价格:2040, 总笔数:20 逐笔量：405,1200,1000,2000,1500,800,200,1000,300,1000,200,3500,200,10000,200,200,1000,500,500,900,
2017-03-14 14:04:36.301 stock 安琪酵母, 价格:2041, 总笔数:2 逐笔量：100,100,
2017-03-14 14:04:49.579 stock 安琪酵母, 价格:2041, 总笔数:1 逐笔量：2800,
2017-03-14 14:04:49.579 stock 安琪酵母, 价格:2042, 总笔数:2 逐笔量：900,900,
2017-03-14 14:04:51.577 stock 安琪酵母, 价格:2041, 总笔数:3 逐笔量：2800,500,5000,
2017-03-14 14:04:51.577 stock 安琪酵母, 价格:2042, 总笔数:2 逐笔量：900,900,
2017-03-14 14:04:53.521 stock 安琪酵母, 价格:2041, 总笔数:3 逐笔量：700,500,5000,
2017-03-14 14:04:53.522 stock 安琪酵母, 价格:2043, 总笔数:1 逐笔量：200,
2017-03-14 14:04:55.660 stock 安琪酵母, 价格:2041, 总笔数:3 逐笔量：700,500,5000,
2017-03-14 14:04:55.661 stock 安琪酵母, 价格:2043, 总笔数:1 逐笔量：200,
2017-03-14 14:04:59.062 stock 安琪酵母, 价格:2041, 总笔数:2 逐笔量：200,5000,
2017-03-14 14:04:59.062 stock 安琪酵母, 价格:2042, 总笔数:1 逐笔量：1000,
