2017-03-14 14:04:36.344 stock 精伦电子, 价格:938, 总笔数:12 逐笔量：5800,1500,2000,1000,500,1000,500,200,6000,500,1200,1100,
2017-03-14 14:04:36.344 stock 精伦电子, 价格:939, 总笔数:5 逐笔量：10800,600,2800,1300,1400,
2017-03-14 14:04:49.342 stock 精伦电子, 价格:938, 总笔数:13 逐笔量：4700,1500,2000,1000,500,1000,500,200,6000,500,1200,1100,1000,
2017-03-14 14:04:49.342 stock 精伦电子, 价格:939, 总笔数:5 逐笔量：10800,600,2800,1300,1400,
2017-03-14 14:04:51.694 stock 精伦电子, 价格:938, 总笔数:13 逐笔量：4700,1500,2000,1000,500,1000,500,200,6000,500,1200,1100,1000,
2017-03-14 14:04:51.694 stock 精伦电子, 价格:939, 总笔数:5 逐笔量：10800,600,2800,1300,1400,
2017-03-14 14:04:53.273 stock 精伦电子, 价格:938, 总笔数:13 逐笔量：3500,1500,2000,1000,500,1000,500,200,6000,500,1200,1100,1000,
2017-03-14 14:04:53.274 stock 精伦电子, 价格:939, 总笔数:6 逐笔量：10800,600,2800,1300,1400,20000,
2017-03-14 14:04:57.353 stock 精伦电子, 价格:938, 总笔数:13 逐笔量：3500,1500,2000,1000,500,1000,500,200,6000,500,1200,1100,1000,
2017-03-14 14:04:57.353 stock 精伦电子, 价格:939, 总笔数:6 逐笔量：10800,600,2800,1300,1400,20000,
2017-03-14 14:04:59.151 stock 精伦电子, 价格:938, 总笔数:13 逐笔量：3500,1500,2000,1000,500,1000,500,200,6000,500,1200,1100,1000,
2017-03-14 14:04:59.151 stock 精伦电子, 价格:939, 总笔数:6 逐笔量：10800,600,2800,1300,1400,20000,
