2017-03-14 14:04:36.353 stock 三房巷, 价格:613, 总笔数:11 逐笔量：2856,65000,300,2000,2100,200,600,3800,4000,3000,9800,
2017-03-14 14:04:36.355 stock 三房巷, 价格:614, 总笔数:6 逐笔量：100,10000,200,200,200,10000,
2017-03-14 14:04:49.672 stock 三房巷, 价格:613, 总笔数:10 逐笔量：64256,300,2000,2100,200,600,3800,4000,3000,9800,
2017-03-14 14:04:49.672 stock 三房巷, 价格:614, 总笔数:6 逐笔量：100,10000,200,200,200,10000,
2017-03-14 14:04:53.618 stock 三房巷, 价格:613, 总笔数:10 逐笔量：64256,300,2000,2100,200,600,3800,4000,3000,9800,
2017-03-14 14:04:53.619 stock 三房巷, 价格:614, 总笔数:6 逐笔量：100,10000,200,200,200,10000,
2017-03-14 14:04:55.382 stock 三房巷, 价格:613, 总笔数:10 逐笔量：64256,300,2000,2100,200,600,3800,4000,3000,9800,
2017-03-14 14:04:55.382 stock 三房巷, 价格:614, 总笔数:7 逐笔量：100,10000,200,200,200,10000,200,
2017-03-14 14:04:57.119 stock 三房巷, 价格:613, 总笔数:9 逐笔量：64256,300,2000,2100,200,600,3800,3000,9800,
2017-03-14 14:04:57.119 stock 三房巷, 价格:614, 总笔数:7 逐笔量：100,10000,200,200,200,10000,200,
2017-03-14 14:04:59.283 stock 三房巷, 价格:613, 总笔数:9 逐笔量：64256,300,2000,2100,200,600,3800,3000,9800,
2017-03-14 14:04:59.283 stock 三房巷, 价格:614, 总笔数:8 逐笔量：100,10000,200,200,200,10000,200,10000,
2017-03-14 14:04:59.285 stock 三房巷, 价格:613, 总笔数:8 逐笔量：60656,300,2000,2100,200,600,3000,9800,
2017-03-14 14:04:59.285 stock 三房巷, 价格:614, 总笔数:8 逐笔量：100,10000,200,200,200,10000,200,10000,
