2017-03-14 14:04:36.448 stock 湘邮科技, 价格:2971, 总笔数:7 逐笔量：100,500,200,200,100,100,300,
2017-03-14 14:04:36.448 stock 湘邮科技, 价格:2972, 总笔数:1 逐笔量：100,
2017-03-14 14:04:49.345 stock 湘邮科技, 价格:2970, 总笔数:17 逐笔量：200,200,1500,300,700,1000,200,2000,200,700,100,1000,400,1000,600,100,300,
2017-03-14 14:04:49.345 stock 湘邮科技, 价格:2971, 总笔数:1 逐笔量：3500,
2017-03-14 14:04:53.278 stock 湘邮科技, 价格:2970, 总笔数:15 逐笔量：1500,300,700,1000,200,2000,200,700,100,1000,400,1000,600,100,300,
2017-03-14 14:04:53.278 stock 湘邮科技, 价格:2971, 总笔数:1 逐笔量：3500,
2017-03-14 14:04:55.208 stock 湘邮科技, 价格:2970, 总笔数:15 逐笔量：1500,300,700,1000,200,2000,200,700,100,1000,400,1000,600,100,300,
2017-03-14 14:04:55.208 stock 湘邮科技, 价格:2971, 总笔数:1 逐笔量：3500,
2017-03-14 14:04:57.356 stock 湘邮科技, 价格:2970, 总笔数:15 逐笔量：1500,300,700,1000,200,2000,200,700,100,1000,400,1000,600,100,300,
2017-03-14 14:04:57.356 stock 湘邮科技, 价格:2971, 总笔数:1 逐笔量：3500,
2017-03-14 14:04:59.164 stock 湘邮科技, 价格:2970, 总笔数:15 逐笔量：500,300,700,1000,200,2000,200,700,100,1000,400,1000,600,100,300,
2017-03-14 14:04:59.164 stock 湘邮科技, 价格:2971, 总笔数:1 逐笔量：3500,
