2017-03-14 14:04:36.449 stock 杭萧钢构, 价格:1017, 总笔数:10 逐笔量：4900,9900,1500,1100,3000,500,200,2500,1000,200,
2017-03-14 14:04:36.449 stock 杭萧钢构, 价格:1018, 总笔数:8 逐笔量：2400,400,6000,2000,900,400,5000,600,
2017-03-14 14:04:51.854 stock 杭萧钢构, 价格:1017, 总笔数:6 逐笔量：1000,500,200,2500,1000,200,
2017-03-14 14:04:51.854 stock 杭萧钢构, 价格:1018, 总笔数:8 逐笔量：2400,400,6000,2000,900,400,5000,600,
2017-03-14 14:04:53.637 stock 杭萧钢构, 价格:1017, 总笔数:6 逐笔量：1000,500,200,2500,1000,200,
2017-03-14 14:04:53.637 stock 杭萧钢构, 价格:1018, 总笔数:8 逐笔量：2400,400,6000,2000,900,400,5000,600,
2017-03-14 14:04:55.384 stock 杭萧钢构, 价格:1017, 总笔数:7 逐笔量：1000,500,200,2500,1000,200,1300,
2017-03-14 14:04:55.384 stock 杭萧钢构, 价格:1018, 总笔数:8 逐笔量：2400,400,6000,2000,900,400,5000,600,
2017-03-14 14:04:57.148 stock 杭萧钢构, 价格:1017, 总笔数:8 逐笔量：1000,500,200,2500,1000,200,1300,100,
2017-03-14 14:04:57.148 stock 杭萧钢构, 价格:1018, 总笔数:9 逐笔量：2400,400,6000,2000,900,400,5000,600,15200,
2017-03-14 14:04:59.290 stock 杭萧钢构, 价格:1017, 总笔数:8 逐笔量：1000,500,200,2500,1000,200,1300,100,
2017-03-14 14:04:59.290 stock 杭萧钢构, 价格:1018, 总笔数:9 逐笔量：2400,400,6000,2000,900,400,5000,600,15200,
