2017-03-14 14:04:36.475 stock 置信电气, 价格:998, 总笔数:16 逐笔量：8651,10000,10400,5000,100,1000,100,100,100,1000,2000,100,100,1100,2000,2100,
2017-03-14 14:04:36.475 stock 置信电气, 价格:999, 总笔数:9 逐笔量：11100,5000,1000,600,10000,1200,4500,2200,1000,
2017-03-14 14:04:49.676 stock 置信电气, 价格:998, 总笔数:17 逐笔量：8651,10000,10400,5000,100,1000,100,100,100,1000,2000,100,100,1100,2000,2100,500,
2017-03-14 14:04:49.677 stock 置信电气, 价格:999, 总笔数:9 逐笔量：11100,5000,1000,600,10000,1200,4500,2200,1000,
2017-03-14 14:04:51.857 stock 置信电气, 价格:998, 总笔数:17 逐笔量：8651,10000,10400,5000,100,1000,100,100,100,1000,2000,100,100,1100,2000,2100,500,
2017-03-14 14:04:51.857 stock 置信电气, 价格:999, 总笔数:9 逐笔量：11100,5000,1000,600,10000,1200,4500,2200,1000,
2017-03-14 14:04:53.638 stock 置信电气, 价格:998, 总笔数:17 逐笔量：8551,10000,10400,5000,100,1000,100,100,100,1000,2000,100,100,1100,2100,500,1300,
2017-03-14 14:04:53.638 stock 置信电气, 价格:999, 总笔数:10 逐笔量：11000,5000,1000,600,10000,1200,4500,2200,1000,700,
2017-03-14 14:04:55.385 stock 置信电气, 价格:998, 总笔数:17 逐笔量：8551,10000,10400,5000,100,1000,100,100,100,1000,2000,100,100,1100,2100,500,1300,
2017-03-14 14:04:55.385 stock 置信电气, 价格:999, 总笔数:10 逐笔量：11000,5000,1000,600,10000,1200,4500,2200,1000,700,
2017-03-14 14:04:57.151 stock 置信电气, 价格:998, 总笔数:17 逐笔量：8551,10000,10400,5000,100,1000,100,100,100,1000,2000,100,100,1100,2100,500,1300,
2017-03-14 14:04:57.152 stock 置信电气, 价格:999, 总笔数:10 逐笔量：8200,5000,1000,600,10000,1200,4500,2200,1000,700,
2017-03-14 14:04:57.152 stock 置信电气, 价格:998, 总笔数:18 逐笔量：8551,10000,10400,5000,100,1000,100,100,100,1000,2000,100,100,1100,2100,500,1300,2000,
2017-03-14 14:04:57.153 stock 置信电气, 价格:999, 总笔数:10 逐笔量：8200,5000,1000,600,10000,1200,4500,2200,1000,700,
