2017-03-14 14:04:36.513 stock 安阳钢铁, 价格:351, 总笔数:4 逐笔量：3100,2000,1400,500,
2017-03-14 14:04:36.513 stock 安阳钢铁, 价格:352, 总笔数:20 逐笔量：3200,4200,100,55000,700,10000,5000,5400,3000,1000,2000,5000,200,2500,400,500,25000,2300,12600,2800,
2017-03-14 14:04:49.681 stock 安阳钢铁, 价格:350, 总笔数:50 逐笔量：9700,1200,800,2500,13800,200,1500,4900,1000,3000,5000,2000,6000,1000,100,1000,8700,2100,5000,900,3000,2000,1000,9900,2000,1000,100,2000,5000,1000,500,4500,100,100,2900,900,7600,5000,1000,5000,4000,10000,100,700,5000,10000,300,6000,300,1000,
2017-03-14 14:04:49.682 stock 安阳钢铁, 价格:351, 总笔数:1 逐笔量：16000,
2017-03-14 14:04:51.874 stock 安阳钢铁, 价格:350, 总笔数:50 逐笔量：9700,1200,800,2500,13800,200,1500,4900,1000,3000,5000,2000,6000,1000,100,1000,8700,2100,5000,900,3000,2000,1000,9900,2000,1000,100,2000,5000,1000,500,4500,100,100,2900,900,7600,5000,1000,5000,4000,10000,100,700,5000,10000,300,6000,300,1000,
2017-03-14 14:04:51.874 stock 安阳钢铁, 价格:351, 总笔数:1 逐笔量：15300,
2017-03-14 14:04:53.643 stock 安阳钢铁, 价格:350, 总笔数:50 逐笔量：9700,1200,800,2500,13800,200,1500,4900,1000,3000,5000,2000,6000,1000,100,1000,8700,2100,5000,900,3000,2000,1000,9900,2000,1000,100,2000,5000,1000,500,4500,100,100,2900,900,7600,5000,1000,5000,4000,10000,100,700,5000,10000,300,6000,300,1000,
2017-03-14 14:04:53.643 stock 安阳钢铁, 价格:351, 总笔数:1 逐笔量：12900,
2017-03-14 14:04:55.401 stock 安阳钢铁, 价格:350, 总笔数:50 逐笔量：9700,1200,800,2500,13800,200,1500,4900,1000,3000,5000,2000,6000,1000,100,1000,8700,2100,5000,900,3000,2000,1000,9900,2000,1000,100,2000,5000,1000,500,4500,100,100,2900,900,7600,5000,1000,5000,4000,10000,100,700,5000,10000,300,6000,300,1000,
2017-03-14 14:04:55.403 stock 安阳钢铁, 价格:351, 总笔数:1 逐笔量：12900,
2017-03-14 14:04:57.162 stock 安阳钢铁, 价格:350, 总笔数:50 逐笔量：9700,1200,800,2500,13800,200,1500,4900,1000,3000,5000,2000,6000,1000,100,1000,8700,2100,5000,900,3000,2000,1000,9900,2000,1000,100,2000,5000,1000,500,4500,100,100,2900,900,7600,5000,1000,5000,4000,10000,100,700,5000,10000,300,6000,300,1000,
2017-03-14 14:04:57.162 stock 安阳钢铁, 价格:351, 总笔数:1 逐笔量：12900,
2017-03-14 14:04:59.295 stock 安阳钢铁, 价格:350, 总笔数:50 逐笔量：9700,1200,800,2500,13800,200,1500,4900,1000,3000,5000,2000,6000,1000,100,1000,8700,2100,5000,900,3000,2000,1000,9900,2000,1000,100,2000,5000,1000,500,4500,100,100,2900,900,7600,5000,1000,5000,4000,10000,100,700,5000,10000,300,6000,300,1000,
2017-03-14 14:04:59.295 stock 安阳钢铁, 价格:351, 总笔数:1 逐笔量：12900,
