2017-03-14 14:04:36.525 stock 金晶科技, 价格:477, 总笔数:22 逐笔量：55700,137700,1000,10000,600,500,1000,5200,700,1500,2800,1000,500,500,100,900,1000,100000,100,100,100,10000,
2017-03-14 14:04:36.525 stock 金晶科技, 价格:478, 总笔数:38 逐笔量：39000,1000,500,10000,1000,1000,4300,1000,2200,5000,800,1000,3500,10000,1000,100,1000,1000,500,23800,2000,500,1000,4000,3000,1500,5000,4900,5900,300,5400,6000,10000,2000,1000,500,2400,2900,
2017-03-14 14:04:49.591 stock 金晶科技, 价格:477, 总笔数:23 逐笔量：52700,137700,1000,10000,600,500,1000,5200,700,1500,2800,1000,500,500,100,900,1000,100000,100,100,100,10000,1700,
2017-03-14 14:04:49.592 stock 金晶科技, 价格:478, 总笔数:40 逐笔量：39000,1000,500,10000,1000,1000,4300,1000,2200,5000,800,1000,3500,10000,1000,100,1000,1000,500,23800,2000,500,1000,4000,3000,1500,5000,4900,5900,300,5400,6000,10000,2000,1000,500,2400,2900,1000,2500,
2017-03-14 14:04:51.611 stock 金晶科技, 价格:477, 总笔数:23 逐笔量：52700,137700,1000,10000,600,500,1000,5200,700,1500,2800,1000,500,500,100,900,1000,100000,100,100,100,10000,1700,
2017-03-14 14:04:51.611 stock 金晶科技, 价格:478, 总笔数:42 逐笔量：39000,1000,500,10000,1000,1000,4300,1000,2200,5000,800,1000,3500,10000,1000,100,1000,1000,500,23800,2000,500,1000,4000,3000,1500,5000,4900,5900,300,5400,6000,10000,2000,1000,500,2400,2900,1000,2500,4000,2000,
2017-03-14 14:04:53.549 stock 金晶科技, 价格:477, 总笔数:23 逐笔量：52700,137700,1000,10000,600,500,1000,5200,700,1500,2800,1000,500,500,100,900,1000,100000,100,100,100,10000,1700,
2017-03-14 14:04:53.549 stock 金晶科技, 价格:478, 总笔数:42 逐笔量：39000,1000,500,10000,1000,1000,4300,1000,2200,5000,800,1000,3500,10000,1000,100,1000,1000,500,23800,2000,500,1000,4000,3000,1500,5000,4900,5900,300,5400,6000,10000,2000,1000,500,2400,2900,1000,2500,4000,2000,
2017-03-14 14:04:53.549 stock 金晶科技, 价格:477, 总笔数:23 逐笔量：51600,137700,1000,10000,600,500,1000,5200,700,1500,2800,1000,500,500,100,900,1000,100000,100,100,100,10000,1700,
2017-03-14 14:04:53.549 stock 金晶科技, 价格:478, 总笔数:42 逐笔量：39000,1000,500,10000,1000,1000,4300,1000,2200,5000,800,1000,3500,10000,1000,100,1000,1000,500,23800,2000,500,1000,4000,3000,1500,5000,4900,5900,300,5400,6000,10000,2000,1000,500,2400,2900,1000,2500,4000,2000,
2017-03-14 14:04:55.699 stock 金晶科技, 价格:477, 总笔数:23 逐笔量：51600,137700,1000,10000,600,500,1000,5200,700,1500,2800,1000,500,500,100,900,1000,100000,100,100,100,10000,1700,
2017-03-14 14:04:55.700 stock 金晶科技, 价格:478, 总笔数:42 逐笔量：39000,1000,500,10000,1000,1000,4300,1000,2200,5000,800,1000,3500,10000,1000,100,1000,1000,500,23800,2000,500,4000,3000,1500,5000,4900,5900,300,5400,6000,10000,2000,1000,500,2400,2900,1000,2500,4000,2000,300,
2017-03-14 14:04:57.027 stock 金晶科技, 价格:477, 总笔数:23 逐笔量：51600,137700,1000,10000,600,500,1000,5200,700,1500,2800,1000,500,500,100,900,1000,100000,100,100,100,10000,1700,
2017-03-14 14:04:57.027 stock 金晶科技, 价格:478, 总笔数:45 逐笔量：36700,1000,500,10000,1000,1000,4300,1000,2200,5000,800,1000,3500,10000,1000,100,1000,1000,500,23800,2000,500,4000,3000,1500,5000,4900,5900,300,5400,6000,10000,2000,1000,500,2400,2900,1000,2500,4000,2000,300,3100,500,2000,
2017-03-14 14:04:59.092 stock 金晶科技, 价格:477, 总笔数:23 逐笔量：51600,137700,1000,10000,600,500,1000,5200,700,1500,2800,1000,500,500,100,900,1000,100000,100,100,100,10000,1700,
2017-03-14 14:04:59.093 stock 金晶科技, 价格:478, 总笔数:45 逐笔量：36700,1000,500,10000,1000,1000,4300,1000,2200,5000,800,1000,3500,10000,1000,100,1000,1000,500,23800,2000,500,4000,3000,1500,5000,4900,5900,300,5400,6000,10000,2000,1000,500,2400,2900,1000,2500,4000,2000,300,3100,500,2000,
