2017-03-14 14:04:37.009 [最新]接收到逐笔数据：要求的大单数据起始序号：21312
2017-03-14 14:04:37.010 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:39,690,81
2017-03-14 14:04:37.011 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:40,690,-500
2017-03-14 14:04:37.011 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:41,690,-700
2017-03-14 14:04:37.011 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:41,690,-719
2017-03-14 14:04:37.011 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:45,689,-600
2017-03-14 14:04:37.011 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:53,689,-500
2017-03-14 14:04:37.011 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:53,689,-100
2017-03-14 14:04:37.011 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:53,689,-1200
2017-03-14 14:04:37.011 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:53,689,-2000
2017-03-14 14:04:37.013 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:53,689,-6600
2017-03-14 14:04:37.013 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:53,689,-2000
2017-03-14 14:04:37.013 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:53,689,-2400
2017-03-14 14:04:37.013 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:53,689,-2000
2017-03-14 14:04:37.013 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:53,689,-400
2017-03-14 14:04:37.013 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:53,689,-400
2017-03-14 14:04:37.013 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:53,689,-600
2017-03-14 14:04:37.013 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:53,689,-700
2017-03-14 14:04:37.013 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:53,689,-600
2017-03-14 14:04:37.013 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:53,689,-100
2017-03-14 14:04:37.013 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:53,689,-1500
2017-03-14 14:04:37.013 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:53,689,-6900
2017-03-14 14:04:37.013 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:03:56,689,-1600
2017-03-14 14:04:37.013 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:01,689,-56
2017-03-14 14:04:37.013 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:04,690,1000
2017-03-14 14:04:37.013 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:05,690,500
2017-03-14 14:04:37.014 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:08,690,100
2017-03-14 14:04:37.014 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:09,689,-483
2017-03-14 14:04:37.014 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-961
2017-03-14 14:04:37.014 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-200
2017-03-14 14:04:37.014 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-24700
2017-03-14 14:04:37.014 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-1000
2017-03-14 14:04:37.014 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-3300
2017-03-14 14:04:37.014 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-200
2017-03-14 14:04:37.015 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-3900
2017-03-14 14:04:37.015 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-1000
2017-03-14 14:04:37.015 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-28900
2017-03-14 14:04:37.015 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-7839
2017-03-14 14:04:37.015 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-100
2017-03-14 14:04:37.016 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-2061
2017-03-14 14:04:37.016 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-200
2017-03-14 14:04:37.016 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-2139
2017-03-14 14:04:37.016 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-1300
2017-03-14 14:04:37.016 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:33,690,1800
2017-03-14 14:04:37.016 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:34,689,-300
2017-03-14 14:04:49.925 [最新]接收到逐笔数据：要求的大单数据起始序号：21344
2017-03-14 14:04:49.926 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-200
2017-03-14 14:04:49.926 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-3900
2017-03-14 14:04:49.926 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-1000
2017-03-14 14:04:49.926 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-28900
2017-03-14 14:04:49.926 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-7839
2017-03-14 14:04:49.926 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-100
2017-03-14 14:04:49.926 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-2061
2017-03-14 14:04:49.926 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-200
2017-03-14 14:04:49.926 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-2139
2017-03-14 14:04:49.927 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-1300
2017-03-14 14:04:49.927 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:33,690,1800
2017-03-14 14:04:49.927 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:34,689,-300
2017-03-14 14:04:49.927 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:37,689,-11061
2017-03-14 14:04:49.927 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:37,689,-7039
2017-03-14 14:04:50.063 [最新]接收到逐笔数据：要求的大单数据起始序号：21344
2017-03-14 14:04:50.063 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-200
2017-03-14 14:04:50.063 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-3900
2017-03-14 14:04:50.063 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-1000
2017-03-14 14:04:50.064 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-28900
2017-03-14 14:04:50.064 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-7839
2017-03-14 14:04:50.064 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-100
2017-03-14 14:04:50.064 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-2061
2017-03-14 14:04:50.064 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-200
2017-03-14 14:04:50.065 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-2139
2017-03-14 14:04:50.065 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-1300
2017-03-14 14:04:50.065 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:33,690,1800
2017-03-14 14:04:50.065 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:34,689,-300
2017-03-14 14:04:50.066 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:37,689,-11061
2017-03-14 14:04:50.066 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:37,689,-7039
2017-03-14 14:04:50.066 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:37,689,-10700
2017-03-14 14:04:53.836 [最新]接收到逐笔数据：要求的大单数据起始序号：21344
2017-03-14 14:04:53.836 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-200
2017-03-14 14:04:53.836 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-3900
2017-03-14 14:04:53.837 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-1000
2017-03-14 14:04:53.837 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-28900
2017-03-14 14:04:53.837 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-7839
2017-03-14 14:04:53.838 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-100
2017-03-14 14:04:53.838 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-2061
2017-03-14 14:04:53.838 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-200
2017-03-14 14:04:53.839 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-2139
2017-03-14 14:04:53.839 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-1300
2017-03-14 14:04:53.839 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:33,690,1800
2017-03-14 14:04:53.839 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:34,689,-300
2017-03-14 14:04:53.840 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:37,689,-11061
2017-03-14 14:04:53.840 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:37,689,-7039
2017-03-14 14:04:53.841 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:37,689,-10700
2017-03-14 14:04:53.841 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:41,689,-2000
2017-03-14 14:04:53.877 [最新]接收到逐笔数据：要求的大单数据起始序号：21359
2017-03-14 14:04:53.878 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:41,689,-2000
2017-03-14 14:04:53.878 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:41,689,-3200
2017-03-14 14:04:57.954 [最新]接收到逐笔数据：要求的大单数据起始序号：21344
2017-03-14 14:04:57.954 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-200
2017-03-14 14:04:57.954 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-3900
2017-03-14 14:04:57.954 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-1000
2017-03-14 14:04:57.955 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-28900
2017-03-14 14:04:57.955 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:22,689,-7839
2017-03-14 14:04:57.955 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-100
2017-03-14 14:04:57.955 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-2061
2017-03-14 14:04:57.955 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-200
2017-03-14 14:04:57.956 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-2139
2017-03-14 14:04:57.956 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:26,689,-1300
2017-03-14 14:04:57.956 [最新]接收到逐笔数据：sh600019,宝钢股份,03-14 14:04:33,690,1800
