2017-03-14 14:04:37.198 [最新]接收到逐笔数据：要求的大单数据起始序号：10752
2017-03-14 14:04:37.198 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:03:33,1635,300
2017-03-14 14:04:37.199 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:03:34,1635,200
2017-03-14 14:04:37.199 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:03:34,1635,44
2017-03-14 14:04:37.199 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:03:34,1635,156
2017-03-14 14:04:37.199 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:03:42,1635,1600
2017-03-14 14:04:37.199 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:03:44,1634,-700
2017-03-14 14:04:37.200 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:03:46,1635,100
2017-03-14 14:04:37.200 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:03:49,1635,844
2017-03-14 14:04:37.200 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:03:49,1635,11756
2017-03-14 14:04:37.200 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:03:50,1634,-5000
2017-03-14 14:04:37.200 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:03:54,1635,200
2017-03-14 14:04:37.200 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:03:54,1634,-5500
2017-03-14 14:04:37.201 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:00,1635,100
2017-03-14 14:04:37.201 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:00,1634,-700
2017-03-14 14:04:37.201 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:01,1635,200
2017-03-14 14:04:37.201 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:07,1635,200
2017-03-14 14:04:37.202 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:10,1634,-83400
2017-03-14 14:04:37.202 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:10,1634,-1800
2017-03-14 14:04:37.202 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:10,1634,-400
2017-03-14 14:04:37.202 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:10,1634,-500
2017-03-14 14:04:37.202 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:10,1634,-1800
2017-03-14 14:04:37.202 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:10,1634,-4196
2017-03-14 14:04:37.203 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:11,1635,700
2017-03-14 14:04:37.203 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:12,1635,400
2017-03-14 14:04:37.203 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:12,1635,1500
2017-03-14 14:04:37.203 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:18,1635,6000
2017-03-14 14:04:37.204 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:19,1635,12600
2017-03-14 14:04:37.204 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:20,1634,-1200
2017-03-14 14:04:37.204 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:21,1635,100
2017-03-14 14:04:37.204 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:23,1634,-1000
2017-03-14 14:04:37.204 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-3304
2017-03-14 14:04:37.205 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-1000
2017-03-14 14:04:37.205 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-500
2017-03-14 14:04:37.205 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-400
2017-03-14 14:04:37.205 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-500
2017-03-14 14:04:37.205 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-496
2017-03-14 14:04:37.206 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-1504
2017-03-14 14:04:37.206 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-100
2017-03-14 14:04:37.206 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-3896
2017-03-14 14:04:37.206 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:27,1634,-20000
2017-03-14 14:04:37.207 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:27,1634,-5000
2017-03-14 14:04:37.207 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:30,1635,200
2017-03-14 14:04:37.207 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:31,1635,1000
2017-03-14 14:04:37.207 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:33,1635,500
2017-03-14 14:04:37.207 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:33,1634,-1104
2017-03-14 14:04:37.208 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:33,1634,-100
2017-03-14 14:04:37.208 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:33,1634,-400
2017-03-14 14:04:37.208 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:33,1634,-2396
2017-03-14 14:04:37.208 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:34,1634,-700
2017-03-14 14:04:37.208 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:34,1635,100
2017-03-14 14:04:49.795 [最新]接收到逐笔数据：要求的大单数据起始序号：10784
2017-03-14 14:04:49.795 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-500
2017-03-14 14:04:49.795 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-400
2017-03-14 14:04:49.796 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-500
2017-03-14 14:04:49.796 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-496
2017-03-14 14:04:49.796 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-1504
2017-03-14 14:04:49.796 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-100
2017-03-14 14:04:49.797 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-3896
2017-03-14 14:04:49.797 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:27,1634,-20000
2017-03-14 14:04:49.797 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:27,1634,-5000
2017-03-14 14:04:49.797 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:30,1635,200
2017-03-14 14:04:49.797 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:31,1635,1000
2017-03-14 14:04:49.798 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:33,1635,500
2017-03-14 14:04:49.798 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:33,1634,-1104
2017-03-14 14:04:49.798 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:33,1634,-100
2017-03-14 14:04:49.798 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:33,1634,-400
2017-03-14 14:04:49.798 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:33,1634,-2396
2017-03-14 14:04:49.799 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:34,1634,-700
2017-03-14 14:04:49.799 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:34,1635,100
2017-03-14 14:04:49.799 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:36,1634,-1904
2017-03-14 14:04:49.799 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:36,1634,-200
2017-03-14 14:04:49.799 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:36,1634,-300
2017-03-14 14:04:49.800 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:36,1634,-2800
2017-03-14 14:04:49.800 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:36,1634,-4900
2017-03-14 14:04:49.800 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:36,1634,-2796
2017-03-14 14:04:49.800 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:37,1634,-300
2017-03-14 14:04:53.770 [最新]接收到逐笔数据：要求的大单数据起始序号：10784
2017-03-14 14:04:53.770 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-500
2017-03-14 14:04:53.770 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-400
2017-03-14 14:04:53.771 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-500
2017-03-14 14:04:53.771 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-496
2017-03-14 14:04:53.771 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-1504
2017-03-14 14:04:53.771 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-100
2017-03-14 14:04:53.771 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:26,1634,-3896
2017-03-14 14:04:53.772 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:27,1634,-20000
2017-03-14 14:04:53.772 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:27,1634,-5000
2017-03-14 14:04:53.772 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:30,1635,200
2017-03-14 14:04:53.772 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:31,1635,1000
2017-03-14 14:04:53.773 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:33,1635,500
2017-03-14 14:04:53.773 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:33,1634,-1104
2017-03-14 14:04:53.773 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:33,1634,-100
2017-03-14 14:04:53.773 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:33,1634,-400
2017-03-14 14:04:53.774 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:33,1634,-2396
2017-03-14 14:04:53.774 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:34,1634,-700
2017-03-14 14:04:53.774 [最新]接收到逐笔数据：sh600030,中信证券,03-14 14:04:34,1635,100
