2017-03-14 14:04:38.284 [最新]接收到逐笔数据：要求的大单数据起始序号：1760
2017-03-14 14:04:38.284 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:00:06,1558,-100
2017-03-14 14:04:38.285 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:00:29,1558,200
2017-03-14 14:04:38.285 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:01:03,1559,1200
2017-03-14 14:04:38.285 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:01:15,1558,-100
2017-03-14 14:04:38.286 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:01:28,1559,100
2017-03-14 14:04:38.287 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:01:30,1558,-200
2017-03-14 14:04:38.287 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:01:30,1558,-400
2017-03-14 14:04:38.287 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:01:30,1558,-300
2017-03-14 14:04:38.287 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:02:00,1558,100
2017-03-14 14:04:38.287 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:02:38,1558,300
2017-03-14 14:04:38.288 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:03:02,1557,-100
2017-03-14 14:04:38.288 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:03:04,1558,500
2017-03-14 14:04:38.288 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:03:36,1557,-300
2017-03-14 14:04:38.288 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:09,1557,-2400
2017-03-14 14:04:38.289 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:09,1557,-1000
2017-03-14 14:04:38.289 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:09,1557,-600
2017-03-14 14:04:38.289 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:09,1557,-200
2017-03-14 14:04:38.289 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:09,1557,-1500
2017-03-14 14:04:38.289 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:09,1557,-1500
2017-03-14 14:04:38.290 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:09,1557,-400
2017-03-14 14:04:38.290 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:09,1557,-1400
2017-03-14 14:04:38.290 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:09,1557,-1000
2017-03-14 14:04:38.290 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:13,1557,-600
2017-03-14 14:04:38.290 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:16,1557,-200
2017-03-14 14:04:38.291 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:22,1556,-1200
2017-03-14 14:04:38.291 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1556,-14600
2017-03-14 14:04:38.291 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1556,-600
2017-03-14 14:04:38.291 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1556,-5000
2017-03-14 14:04:38.292 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1556,-1000
2017-03-14 14:04:38.292 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1556,-500
2017-03-14 14:04:38.292 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1556,-700
2017-03-14 14:04:38.292 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1556,-1000
2017-03-14 14:04:38.292 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1556,-700
2017-03-14 14:04:38.293 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1556,-500
2017-03-14 14:04:38.293 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1556,-500
2017-03-14 14:04:38.293 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1556,-100
2017-03-14 14:04:38.293 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-700
2017-03-14 14:04:38.294 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-3100
2017-03-14 14:04:38.294 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-1000
2017-03-14 14:04:38.294 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-500
2017-03-14 14:04:38.294 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-1000
2017-03-14 14:04:38.294 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-100
2017-03-14 14:04:38.294 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-1300
2017-03-14 14:04:38.295 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-200
2017-03-14 14:04:38.295 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-400
2017-03-14 14:04:38.295 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-800
2017-03-14 14:04:38.296 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-500
2017-03-14 14:04:38.296 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-4000
2017-03-14 14:04:38.297 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-200
2017-03-14 14:04:38.298 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-4600
2017-03-14 14:04:38.311 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-500
2017-03-14 14:04:38.311 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-500
2017-03-14 14:04:38.311 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-1000
2017-03-14 14:04:38.312 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-900
2017-03-14 14:04:38.312 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-500
2017-03-14 14:04:38.312 [最新]接收到逐笔数据：sh600081,东风科技,03-14 14:04:25,1555,-600
