2017-03-14 14:04:38.378 [最新]接收到逐笔数据：要求的大单数据起始序号：4800
2017-03-14 14:04:38.378 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:01:57,3147,-200
2017-03-14 14:04:38.379 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:02:00,3147,-200
2017-03-14 14:04:38.379 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:02:00,3147,-300
2017-03-14 14:04:38.379 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:02:00,3147,-300
2017-03-14 14:04:38.379 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:02:05,3147,-300
2017-03-14 14:04:38.379 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:02:08,3148,500
2017-03-14 14:04:38.380 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:02:11,3148,400
2017-03-14 14:04:38.381 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:02:11,3147,-100
2017-03-14 14:04:38.381 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:02:31,3148,-100
2017-03-14 14:04:38.381 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:02:35,3150,100
2017-03-14 14:04:38.381 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:02:41,3148,-100
2017-03-14 14:04:38.381 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:02:41,3148,-300
2017-03-14 14:04:38.382 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:02:41,3148,-200
2017-03-14 14:04:38.382 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:02:41,3148,-500
2017-03-14 14:04:38.382 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:02:41,3148,-500
2017-03-14 14:04:38.382 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:02:59,3150,2000
2017-03-14 14:04:38.383 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:03:07,3149,100
2017-03-14 14:04:38.383 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:03:07,3150,7900
2017-03-14 14:04:38.383 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:03:08,3148,-100
2017-03-14 14:04:38.383 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:03:08,3148,-300
2017-03-14 14:04:38.384 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:03:14,3148,-300
2017-03-14 14:04:38.384 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:03:14,3148,-300
2017-03-14 14:04:38.384 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:03:18,3150,100
2017-03-14 14:04:38.384 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:03:26,3148,-100
2017-03-14 14:04:38.385 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:03:36,3149,-200
2017-03-14 14:04:38.385 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:03:43,3149,-2000
2017-03-14 14:04:38.385 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:03:50,3150,697
2017-03-14 14:04:38.385 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:03:50,3150,500
2017-03-14 14:04:38.385 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:03:50,3150,100
2017-03-14 14:04:38.385 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:03:50,3150,603
2017-03-14 14:04:38.385 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:03:55,3150,397
2017-03-14 14:04:38.386 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:03:55,3150,400
2017-03-14 14:04:38.387 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:03:55,3150,-3
2017-03-14 14:04:38.387 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:11,3150,100
2017-03-14 14:04:38.387 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:12,3149,-700
2017-03-14 14:04:38.387 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:12,3149,-29300
2017-03-14 14:04:38.387 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:14,3149,-300
2017-03-14 14:04:38.388 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:14,3149,-300
2017-03-14 14:04:38.388 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:14,3149,-300
2017-03-14 14:04:38.388 [最新]接收到逐笔数据：sh600085,同仁堂,03-14 14:04:14,3149,-200
