2017-03-14 14:04:39.713 [最新]接收到逐笔数据：要求的大单数据起始序号：27200
2017-03-14 14:04:39.713 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:19,2164,-500
2017-03-14 14:04:39.714 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:22,2164,-1900
2017-03-14 14:04:39.714 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:25,2164,-500
2017-03-14 14:04:39.714 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:25,2164,-2000
2017-03-14 14:04:39.714 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:26,2164,-500
2017-03-14 14:04:39.714 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:28,2164,-300
2017-03-14 14:04:39.715 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:28,2164,-700
2017-03-14 14:04:39.715 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:33,2164,-400
2017-03-14 14:04:39.715 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:33,2164,-500
2017-03-14 14:04:39.715 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:37,2164,-400
2017-03-14 14:04:39.715 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:37,2165,800
2017-03-14 14:04:39.715 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:37,2165,400
2017-03-14 14:04:39.716 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:38,2164,-3000
2017-03-14 14:04:39.716 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:42,2164,-200
2017-03-14 14:04:39.716 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:43,2164,-200
2017-03-14 14:04:39.716 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:43,2164,-400
2017-03-14 14:04:39.716 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:43,2164,-1000
2017-03-14 14:04:39.717 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:44,2164,-600
2017-03-14 14:04:39.717 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:44,2164,-400
2017-03-14 14:04:39.717 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:44,2164,-2200
2017-03-14 14:04:39.717 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:44,2164,-800
2017-03-14 14:04:39.717 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:45,2165,300
2017-03-14 14:04:39.717 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:47,2164,-200
2017-03-14 14:04:39.718 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:47,2164,-200
2017-03-14 14:04:39.718 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:48,2164,-1600
2017-03-14 14:04:39.718 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:51,2164,1000
2017-03-14 14:04:39.718 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:51,2164,1100
2017-03-14 14:04:39.718 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:03:53,2164,200
2017-03-14 14:04:39.718 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2164,400
2017-03-14 14:04:39.718 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2164,400
2017-03-14 14:04:39.718 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2164,300
2017-03-14 14:04:39.718 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2164,100
2017-03-14 14:04:39.718 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2164,2400
2017-03-14 14:04:39.718 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2164,3000
2017-03-14 14:04:39.719 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2164,1000
2017-03-14 14:04:39.719 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,4000
2017-03-14 14:04:39.719 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,4000
2017-03-14 14:04:39.719 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,500
2017-03-14 14:04:39.719 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,1000
2017-03-14 14:04:39.720 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,200
2017-03-14 14:04:39.720 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:01,2165,700
2017-03-14 14:04:39.720 [最新]接收到逐笔数据：sh600149,廊坊发展,03-14 14:04:04,2163,-1000
