2017-03-14 14:04:39.854 [最新]接收到逐笔数据：要求的大单数据起始序号：10880
2017-03-14 14:04:39.854 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:01,1993,-500
2017-03-14 14:04:39.855 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:04,1993,-500
2017-03-14 14:04:39.855 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:04,1994,2900
2017-03-14 14:04:39.855 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:05,1993,-100
2017-03-14 14:04:39.855 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:05,1993,-1000
2017-03-14 14:04:39.855 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:06,1993,-500
2017-03-14 14:04:39.856 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:06,1993,-1000
2017-03-14 14:04:39.856 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:06,1993,-200
2017-03-14 14:04:39.856 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:06,1993,-2000
2017-03-14 14:04:39.856 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:08,1993,-200
2017-03-14 14:04:39.857 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:09,1994,300
2017-03-14 14:04:39.857 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:09,1993,-200
2017-03-14 14:04:39.857 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:11,1994,100
2017-03-14 14:04:39.857 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:11,1994,6700
2017-03-14 14:04:39.858 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:11,1994,1000
2017-03-14 14:04:39.858 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:11,1994,100
2017-03-14 14:04:39.858 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:11,1994,2000
2017-03-14 14:04:39.858 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:11,1994,100
2017-03-14 14:04:39.858 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:11,1995,1100
2017-03-14 14:04:39.859 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:13,1994,-800
2017-03-14 14:04:39.859 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:13,1994,-200
2017-03-14 14:04:39.859 [最新]接收到逐笔数据：sh600158,中体产业,03-14 14:04:13,1994,-200
