2017-03-14 14:04:40.020 [最新]接收到逐笔数据：要求的大单数据起始序号：2080
2017-03-14 14:04:40.021 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:01:55,2242,-400
2017-03-14 14:04:40.022 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:02:13,2243,79
2017-03-14 14:04:40.022 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:02:13,2243,925
2017-03-14 14:04:40.022 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:02:13,2243,400
2017-03-14 14:04:40.022 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:02:13,2246,596
2017-03-14 14:04:40.023 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:02:16,2242,-4900
2017-03-14 14:04:40.024 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:02:34,2243,-700
2017-03-14 14:04:40.024 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:02:35,2243,-200
2017-03-14 14:04:40.024 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:02:47,2243,-1600
2017-03-14 14:04:40.025 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:02:47,2243,-196
2017-03-14 14:04:40.025 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:02:47,2243,-4
2017-03-14 14:04:40.025 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:02:52,2242,-700
2017-03-14 14:04:40.025 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:08,2242,-1160
2017-03-14 14:04:40.025 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:08,2242,-740
2017-03-14 14:04:40.025 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:23,2242,-460
2017-03-14 14:04:40.026 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:23,2242,-1100
2017-03-14 14:04:40.026 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:23,2242,-500
2017-03-14 14:04:40.026 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:23,2242,-7400
2017-03-14 14:04:40.027 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:23,2242,-500
2017-03-14 14:04:40.027 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:23,2242,-10000
2017-03-14 14:04:40.027 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:23,2242,-2000
2017-03-14 14:04:40.027 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:23,2242,-1000
2017-03-14 14:04:40.028 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:23,2242,-3000
2017-03-14 14:04:40.028 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:23,2242,-1500
2017-03-14 14:04:40.028 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:23,2242,200
2017-03-14 14:04:40.028 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:40,2241,-925
2017-03-14 14:04:40.028 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:40,2241,-649
2017-03-14 14:04:40.029 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:40,2241,-500
2017-03-14 14:04:40.029 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:40,2241,-647
2017-03-14 14:04:40.029 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:03:40,2241,-181
2017-03-14 14:04:40.029 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:04:13,2241,-700
2017-03-14 14:04:40.030 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:04:19,2242,2340
2017-03-14 14:04:40.030 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:04:20,2242,-160
2017-03-14 14:04:40.030 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:04:20,2241,-640
2017-03-14 14:04:40.030 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:04:21,2241,-1000
2017-03-14 14:04:40.031 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:04:23,2246,4
2017-03-14 14:04:40.031 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:04:23,2246,196
2017-03-14 14:04:40.031 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:04:27,2241,-700
2017-03-14 14:04:40.032 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:04:33,2241,-181
2017-03-14 14:04:40.032 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:04:33,2241,-951
2017-03-14 14:04:40.032 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:04:33,2241,-846
2017-03-14 14:04:40.032 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:04:33,2241,-926
2017-03-14 14:04:59.974 [最新]接收到逐笔数据：要求的大单数据起始序号：2122
2017-03-14 14:04:59.975 [最新]接收到逐笔数据：sh600167,联美控股,03-14 14:04:50,2242,-700
