2017-03-14 14:04:40.885 [最新]接收到逐笔数据：要求的大单数据起始序号：6656
2017-03-14 14:04:40.885 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:03:40,1717,200
2017-03-14 14:04:40.886 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:03:45,1717,-1000
2017-03-14 14:04:40.886 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:03:48,1717,-1700
2017-03-14 14:04:40.886 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:03:48,1717,-200
2017-03-14 14:04:40.887 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:03:49,1717,-1200
2017-03-14 14:04:40.887 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:03:50,1717,-200
2017-03-14 14:04:40.887 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:03:54,1717,-600
2017-03-14 14:04:40.887 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:03:54,1717,-800
2017-03-14 14:04:40.887 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:03:54,1718,15000
2017-03-14 14:04:40.888 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:03:54,1717,-400
2017-03-14 14:04:40.888 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:03:57,1717,-200
2017-03-14 14:04:40.888 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:03:57,1718,10000
2017-03-14 14:04:40.888 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:03:59,1717,-1000
2017-03-14 14:04:40.888 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:04:00,1718,10016
2017-03-14 14:04:40.889 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:04:00,1718,2000
2017-03-14 14:04:40.889 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:04:00,1718,200
2017-03-14 14:04:40.889 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:04:00,1718,1000
2017-03-14 14:04:40.889 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:04:00,1718,1100
2017-03-14 14:04:40.889 [最新]接收到逐笔数据：sh600198,大唐电信,03-14 14:04:00,1718,200
