2017-03-14 14:04:41.064 [最新]接收到逐笔数据：要求的大单数据起始序号：4224
2017-03-14 14:04:41.064 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:06,992,-100
2017-03-14 14:04:41.065 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:11,993,700
2017-03-14 14:04:41.065 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:11,993,300
2017-03-14 14:04:41.065 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:12,992,-1500
2017-03-14 14:04:41.065 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:14,993,68
2017-03-14 14:04:41.066 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:14,993,232
2017-03-14 14:04:41.066 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:24,992,-200
2017-03-14 14:04:41.066 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:31,993,700
2017-03-14 14:04:41.067 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:36,993,68
2017-03-14 14:04:41.067 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:36,993,132
2017-03-14 14:04:41.067 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:37,992,-500
2017-03-14 14:04:41.067 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:37,992,-1000
2017-03-14 14:04:41.067 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:37,992,-500
2017-03-14 14:04:41.068 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:37,992,-300
2017-03-14 14:04:41.068 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:37,992,-2200
2017-03-14 14:04:41.068 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:37,992,-1500
2017-03-14 14:04:41.068 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:38,993,368
2017-03-14 14:04:41.069 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:02:38,993,4632
2017-03-14 14:04:41.069 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:03:07,993,5100
2017-03-14 14:04:41.069 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:03:07,993,268
2017-03-14 14:04:41.069 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:03:07,993,2432
2017-03-14 14:04:41.070 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:03:42,992,-3500
2017-03-14 14:04:41.070 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:03:42,992,-100
2017-03-14 14:04:41.070 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:03:42,992,-600
2017-03-14 14:04:41.070 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:03:42,992,-2000
2017-03-14 14:04:41.070 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:03:42,992,-1000
2017-03-14 14:04:41.071 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:03:42,992,-5000
2017-03-14 14:04:41.071 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:03:42,992,-5000
2017-03-14 14:04:41.071 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:03:42,992,-900
2017-03-14 14:04:41.071 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:03:52,992,600
2017-03-14 14:04:41.071 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:04:00,992,300
2017-03-14 14:04:41.072 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:04:08,992,2000
2017-03-14 14:04:41.072 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:04:15,992,400
2017-03-14 14:04:41.072 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:04:19,992,2100
2017-03-14 14:04:41.072 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:04:32,991,-10000
2017-03-14 14:04:52.225 [最新]接收到逐笔数据：要求的大单数据起始序号：4259
2017-03-14 14:04:52.226 [最新]接收到逐笔数据：sh600207,安彩高科,03-14 14:04:39,992,100
