2017-03-14 14:04:41.162 [最新]接收到逐笔数据：要求的大单数据起始序号：50560
2017-03-14 14:04:41.162 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:02,1093,300
2017-03-14 14:04:41.163 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:03,1093,17850
2017-03-14 14:04:41.163 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:03,1093,1000
2017-03-14 14:04:41.163 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:03,1093,2650
2017-03-14 14:04:41.163 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:04,1093,100
2017-03-14 14:04:41.163 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:04,1092,-790
2017-03-14 14:04:41.164 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:04,1092,-2000
2017-03-14 14:04:41.164 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:04,1092,-32900
2017-03-14 14:04:41.164 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:04,1092,-300
2017-03-14 14:04:41.164 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:04,1092,-1000
2017-03-14 14:04:41.164 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:04,1092,-500
2017-03-14 14:04:41.165 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:04,1092,-2300
2017-03-14 14:04:41.165 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:04,1091,-1300
2017-03-14 14:04:41.165 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:04,1091,-2000
2017-03-14 14:04:41.165 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:04,1091,-1000
2017-03-14 14:04:41.165 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:04,1091,-300
2017-03-14 14:04:41.166 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:04,1091,200
2017-03-14 14:04:41.166 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:05,1091,5000
2017-03-14 14:04:41.166 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:08,1091,2000
2017-03-14 14:04:41.166 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:09,1091,4000
2017-03-14 14:04:41.167 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:12,1091,24510
2017-03-14 14:04:41.167 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:12,1091,5000
2017-03-14 14:04:41.167 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:12,1091,4600
2017-03-14 14:04:41.167 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:12,1091,5000
2017-03-14 14:04:41.167 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:13,1092,100
2017-03-14 14:04:41.167 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:13,1092,2700
2017-03-14 14:04:41.168 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:15,1092,800
2017-03-14 14:04:41.168 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:15,1092,700
2017-03-14 14:04:41.168 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:18,1092,2600
2017-03-14 14:04:41.168 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:19,1091,-100
2017-03-14 14:04:41.168 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:21,1091,-100
2017-03-14 14:04:41.169 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:23,1091,-2300
2017-03-14 14:04:41.169 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:25,1092,800
2017-03-14 14:04:41.169 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:25,1091,-1000
2017-03-14 14:04:41.169 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:27,1091,-5200
2017-03-14 14:04:41.170 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:29,1092,1600
2017-03-14 14:04:41.170 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1091,-2900
2017-03-14 14:04:41.170 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1092,500
2017-03-14 14:04:41.170 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1092,900
2017-03-14 14:04:41.171 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1091,-2200
2017-03-14 14:04:41.171 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:33,1092,2600
2017-03-14 14:04:41.171 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:34,1092,1600
2017-03-14 14:04:50.677 [最新]接收到逐笔数据：要求的大单数据起始序号：50592
2017-03-14 14:04:50.677 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:25,1092,800
2017-03-14 14:04:50.677 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:25,1091,-1000
2017-03-14 14:04:50.677 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:27,1091,-5200
2017-03-14 14:04:50.677 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:29,1092,1600
2017-03-14 14:04:50.677 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1091,-2900
2017-03-14 14:04:50.677 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1092,500
2017-03-14 14:04:50.677 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1092,900
2017-03-14 14:04:50.677 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1091,-2200
2017-03-14 14:04:50.677 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:33,1092,2600
2017-03-14 14:04:50.677 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:34,1092,1600
2017-03-14 14:04:50.677 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:35,1091,-200
2017-03-14 14:04:52.683 [最新]接收到逐笔数据：要求的大单数据起始序号：50592
2017-03-14 14:04:52.683 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:25,1092,800
2017-03-14 14:04:52.683 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:25,1091,-1000
2017-03-14 14:04:52.683 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:27,1091,-5200
2017-03-14 14:04:52.683 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:29,1092,1600
2017-03-14 14:04:52.684 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1091,-2900
2017-03-14 14:04:52.684 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1092,500
2017-03-14 14:04:52.684 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1092,900
2017-03-14 14:04:52.684 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:32,1091,-2200
2017-03-14 14:04:52.685 [最新]接收到逐笔数据：sh600212,江泉实业,03-14 14:04:33,1092,2600
