2017-03-14 14:04:45.283 [最新]接收到逐笔数据：要求的大单数据起始序号：2176
2017-03-14 14:04:45.283 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:00:24,1296,100
2017-03-14 14:04:45.284 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:00:29,1295,-2000
2017-03-14 14:04:45.284 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:00:29,1295,-400
2017-03-14 14:04:45.284 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:00:32,1295,-1700
2017-03-14 14:04:45.284 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:00:34,1296,800
2017-03-14 14:04:45.284 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:00:34,1296,100
2017-03-14 14:04:45.285 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:00:57,1295,-1200
2017-03-14 14:04:45.285 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:01:18,1295,-1000
2017-03-14 14:04:45.285 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:01:30,1295,-2000
2017-03-14 14:04:45.285 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:02:02,1295,-600
2017-03-14 14:04:45.286 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:02:07,1295,-5000
2017-03-14 14:04:45.286 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:02:13,1295,-400
2017-03-14 14:04:45.286 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:02:20,1296,900
2017-03-14 14:04:45.286 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:02:20,1296,500
2017-03-14 14:04:45.286 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:02:20,1296,400
2017-03-14 14:04:45.287 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:02:30,1295,-2000
2017-03-14 14:04:45.287 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:02:43,1296,400
2017-03-14 14:04:45.287 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:04,1295,-200
2017-03-14 14:04:45.287 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:07,1295,-100
2017-03-14 14:04:45.287 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:30,1295,-2000
2017-03-14 14:04:45.287 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:36,1295,-9090
2017-03-14 14:04:45.288 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:36,1295,-100
2017-03-14 14:04:45.288 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:36,1295,-400
2017-03-14 14:04:45.288 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:36,1295,-100
2017-03-14 14:04:45.288 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:36,1295,-100
2017-03-14 14:04:45.288 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:36,1295,-100
2017-03-14 14:04:45.289 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:36,1295,-100
2017-03-14 14:04:45.289 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:36,1295,-10
2017-03-14 14:04:45.289 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:51,1295,-190
2017-03-14 14:04:45.289 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:51,1295,-1810
2017-03-14 14:04:45.289 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:54,1295,-390
2017-03-14 14:04:45.290 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:54,1295,-100
2017-03-14 14:04:45.290 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:54,1295,-200
2017-03-14 14:04:45.290 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:54,1295,-100
2017-03-14 14:04:45.290 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:54,1295,-210
2017-03-14 14:04:45.290 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:04:01,1295,-1000
2017-03-14 14:04:45.291 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:04:08,1295,-1390
2017-03-14 14:04:45.291 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:04:08,1295,-1800
2017-03-14 14:04:45.291 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:04:08,1295,-510
2017-03-14 14:04:45.291 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:04:13,1295,-290
2017-03-14 14:04:45.292 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:04:13,1295,-710
2017-03-14 14:04:45.292 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:04:31,1295,-790
2017-03-14 14:04:52.767 [最新]接收到逐笔数据：要求的大单数据起始序号：2208
2017-03-14 14:04:52.767 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:54,1295,-200
2017-03-14 14:04:52.767 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:54,1295,-100
2017-03-14 14:04:52.768 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:03:54,1295,-210
2017-03-14 14:04:52.768 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:04:01,1295,-1000
2017-03-14 14:04:52.768 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:04:08,1295,-1390
2017-03-14 14:04:52.769 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:04:08,1295,-1800
2017-03-14 14:04:52.769 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:04:08,1295,-510
2017-03-14 14:04:52.769 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:04:13,1295,-290
2017-03-14 14:04:52.769 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:04:13,1295,-710
2017-03-14 14:04:52.770 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:04:31,1295,-790
2017-03-14 14:04:52.770 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:04:38,1295,1210
2017-03-14 14:04:52.771 [最新]接收到逐笔数据：sh600422,昆药集团,03-14 14:04:38,1295,5790
