2017-03-14 14:04:45.320 [最新]接收到逐笔数据：要求的大单数据起始序号：20608
2017-03-14 14:04:45.320 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:08,620,4400
2017-03-14 14:04:45.321 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:11,620,4600
2017-03-14 14:04:45.321 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:13,620,200
2017-03-14 14:04:45.321 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:16,620,200
2017-03-14 14:04:45.321 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-900
2017-03-14 14:04:45.321 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-10400
2017-03-14 14:04:45.321 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-100
2017-03-14 14:04:45.322 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-100
2017-03-14 14:04:45.322 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-400
2017-03-14 14:04:45.322 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-100
2017-03-14 14:04:45.322 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-1700
2017-03-14 14:04:45.322 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-2400
2017-03-14 14:04:45.322 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-600
2017-03-14 14:04:45.322 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-200
2017-03-14 14:04:45.322 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-1800
2017-03-14 14:04:45.323 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-2000
2017-03-14 14:04:45.323 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-1000
2017-03-14 14:04:45.323 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-2700
2017-03-14 14:04:45.323 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-200
2017-03-14 14:04:45.323 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-100
2017-03-14 14:04:45.323 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-1800
2017-03-14 14:04:45.323 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:18,619,-2000
2017-03-14 14:04:45.324 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:19,619,2400
2017-03-14 14:04:45.324 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:19,620,600
2017-03-14 14:04:45.324 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:20,620,1500
2017-03-14 14:04:45.324 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:23,620,3000
2017-03-14 14:04:45.324 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:23,620,5000
2017-03-14 14:04:45.324 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:24,619,-500
2017-03-14 14:04:45.324 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:24,620,2700
2017-03-14 14:04:45.324 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:27,620,200
2017-03-14 14:04:45.325 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:27,620,1000
2017-03-14 14:04:45.325 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:28,620,10300
2017-03-14 14:04:45.325 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:29,620,2000
2017-03-14 14:04:45.325 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:29,619,-1200
2017-03-14 14:04:45.325 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:29,619,-9300
2017-03-14 14:04:45.325 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:29,619,5000
2017-03-14 14:04:45.325 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:31,619,300
2017-03-14 14:04:45.326 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:32,619,4200
2017-03-14 14:04:45.326 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:32,619,800
2017-03-14 14:04:45.326 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:32,619,10000
2017-03-14 14:04:45.326 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:33,619,100
2017-03-14 14:04:45.326 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:34,619,1300
2017-03-14 14:04:49.856 [最新]接收到逐笔数据：要求的大单数据起始序号：20650
2017-03-14 14:04:49.856 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:36,619,600
2017-03-14 14:04:49.856 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:36,619,1000
2017-03-14 14:04:49.911 [最新]接收到逐笔数据：要求的大单数据起始序号：20640
2017-03-14 14:04:49.911 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:29,620,2000
2017-03-14 14:04:49.911 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:29,619,-1200
2017-03-14 14:04:49.911 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:29,619,-9300
2017-03-14 14:04:49.913 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:29,619,5000
2017-03-14 14:04:49.913 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:31,619,300
2017-03-14 14:04:49.913 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:32,619,4200
2017-03-14 14:04:49.913 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:32,619,800
2017-03-14 14:04:49.913 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:32,619,10000
2017-03-14 14:04:49.914 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:33,619,100
2017-03-14 14:04:49.914 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:34,619,1300
2017-03-14 14:04:49.914 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:36,619,600
2017-03-14 14:04:49.914 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:36,619,1000
2017-03-14 14:04:49.914 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:38,619,1000
2017-03-14 14:04:53.762 [最新]接收到逐笔数据：要求的大单数据起始序号：20653
2017-03-14 14:04:53.762 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:41,619,10000
2017-03-14 14:04:53.763 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:41,619,5100
2017-03-14 14:04:53.763 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:42,619,1000
2017-03-14 14:04:53.821 [最新]接收到逐笔数据：要求的大单数据起始序号：20640
2017-03-14 14:04:53.821 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:29,620,2000
2017-03-14 14:04:53.821 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:29,619,-1200
2017-03-14 14:04:53.822 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:29,619,-9300
2017-03-14 14:04:53.822 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:29,619,5000
2017-03-14 14:04:53.822 [最新]接收到逐笔数据：sh600425,青松建化,03-14 14:04:31,619,300
