2017-03-14 14:04:45.932 [最新]接收到逐笔数据：要求的大单数据起始序号：3840
2017-03-14 14:04:45.932 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:00:22,1018,-600
2017-03-14 14:04:45.933 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:00:55,1018,-200
2017-03-14 14:04:45.933 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:01:00,1018,-900
2017-03-14 14:04:45.933 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:01:00,1018,-500
2017-03-14 14:04:45.933 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:01:00,1018,-2300
2017-03-14 14:04:45.933 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:01:00,1018,-1500
2017-03-14 14:04:45.934 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:01:00,1018,-400
2017-03-14 14:04:45.934 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:01:00,1018,-2800
2017-03-14 14:04:45.934 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:01:13,1018,200
2017-03-14 14:04:45.934 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:01:18,1017,-700
2017-03-14 14:04:45.934 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:01:18,1017,-4100
2017-03-14 14:04:45.934 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:01:18,1017,-100
2017-03-14 14:04:45.934 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:01:18,1017,-100
2017-03-14 14:04:45.935 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:01:44,1017,-4000
2017-03-14 14:04:45.935 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:02:05,1018,600
2017-03-14 14:04:45.935 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:02:18,1018,1000
2017-03-14 14:04:45.935 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:02:40,1018,3200
2017-03-14 14:04:45.935 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:02:43,1018,4500
2017-03-14 14:04:45.936 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:02:46,1018,1000
2017-03-14 14:04:45.936 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:03:00,1018,2000
2017-03-14 14:04:45.936 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:03:21,1018,200
2017-03-14 14:04:45.936 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:03:27,1018,2500
2017-03-14 14:04:45.936 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:03:30,1018,4200
2017-03-14 14:04:45.936 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:03:30,1018,7900
2017-03-14 14:04:45.937 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:03:36,1018,500
2017-03-14 14:04:45.937 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:03:52,1018,100
2017-03-14 14:04:45.937 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:03:52,1017,-300
2017-03-14 14:04:45.937 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:03:56,1018,900
2017-03-14 14:04:45.939 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:03:57,1018,4700
2017-03-14 14:04:45.939 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:04:08,1017,-5500
2017-03-14 14:04:45.939 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:04:08,1017,-4500
2017-03-14 14:04:45.939 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:04:10,1017,-700
2017-03-14 14:04:45.939 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:04:10,1017,-300
2017-03-14 14:04:45.939 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:04:27,1017,-800
2017-03-14 14:04:45.939 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:04:27,1017,-3100
2017-03-14 14:04:45.940 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:04:27,1017,-100
2017-03-14 14:04:52.103 [最新]接收到逐笔数据：要求的大单数据起始序号：3872
2017-03-14 14:04:52.103 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:04:10,1017,-300
2017-03-14 14:04:52.103 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:04:27,1017,-800
2017-03-14 14:04:52.103 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:04:27,1017,-3100
2017-03-14 14:04:52.103 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:04:27,1017,-100
2017-03-14 14:04:52.104 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:04:40,1017,-4900
2017-03-14 14:04:52.104 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:04:40,1017,-9900
2017-03-14 14:04:52.104 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:04:40,1017,-1500
2017-03-14 14:04:52.104 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:04:40,1017,-1100
2017-03-14 14:04:52.104 [最新]接收到逐笔数据：sh600477,杭萧钢构,03-14 14:04:40,1017,-2000
