2017-03-14 14:04:47.647 [最新]接收到逐笔数据：要求的大单数据起始序号：3552
2017-03-14 14:04:47.647 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:03:49,3341,100
2017-03-14 14:04:47.648 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:03:56,3339,-3000
2017-03-14 14:04:47.648 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:14,3341,200
2017-03-14 14:04:47.648 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:14,3341,2000
2017-03-14 14:04:47.649 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:14,3342,6300
2017-03-14 14:04:47.649 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:14,3342,100
2017-03-14 14:04:47.649 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:14,3345,200
2017-03-14 14:04:47.650 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:14,3345,2600
2017-03-14 14:04:47.650 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:14,3345,3300
2017-03-14 14:04:47.650 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:14,3346,300
2017-03-14 14:04:47.650 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:14,3346,300
2017-03-14 14:04:47.650 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:14,3347,200
2017-03-14 14:04:47.651 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:14,3347,2000
2017-03-14 14:04:47.651 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:14,3350,372
2017-03-14 14:04:47.651 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:14,3350,3000
2017-03-14 14:04:47.651 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:14,3350,400
2017-03-14 14:04:47.651 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:14,3350,4000
2017-03-14 14:04:47.652 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:14,3350,400
2017-03-14 14:04:47.652 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:15,3350,-500
2017-03-14 14:04:47.652 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:15,3350,-200
2017-03-14 14:04:47.652 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:16,3350,-200
2017-03-14 14:04:47.653 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:16,3350,-300
2017-03-14 14:04:47.653 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:16,3350,-300
2017-03-14 14:04:47.653 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:16,3350,-200
2017-03-14 14:04:47.653 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:21,3350,-10000
2017-03-14 14:04:47.654 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:24,3350,-300
2017-03-14 14:04:47.654 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:24,3350,-300
2017-03-14 14:04:47.654 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:25,3350,-200
2017-03-14 14:04:47.654 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:25,3350,-200
2017-03-14 14:04:47.655 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:25,3350,-500
2017-03-14 14:04:47.655 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:25,3350,-500
2017-03-14 14:04:47.655 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:25,3350,-300
2017-03-14 14:04:47.655 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:25,3350,-300
2017-03-14 14:04:47.656 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:26,3350,-28
2017-03-14 14:04:52.427 [最新]接收到逐笔数据：要求的大单数据起始序号：3586
2017-03-14 14:04:52.427 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:40,3350,100
2017-03-14 14:04:59.791 [最新]接收到逐笔数据：要求的大单数据起始序号：3584
2017-03-14 14:04:59.791 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:25,3350,-300
2017-03-14 14:04:59.791 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:26,3350,-28
2017-03-14 14:04:59.791 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:40,3350,100
2017-03-14 14:04:59.792 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:50,3342,-100
2017-03-14 14:04:59.792 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:50,3342,-200
2017-03-14 14:04:59.792 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:50,3341,-100
2017-03-14 14:04:59.792 [最新]接收到逐笔数据：sh600562,国睿科技,03-14 14:04:51,3341,500
