2017-03-14 14:04:47.787 [最新]接收到逐笔数据：要求的大单数据起始序号：10880
2017-03-14 14:04:47.787 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:03:32,4522,-1000
2017-03-14 14:04:47.788 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:03:36,4522,-400
2017-03-14 14:04:47.788 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:03:36,4522,-200
2017-03-14 14:04:47.789 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:03:36,4522,-3700
2017-03-14 14:04:47.789 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:03:36,4522,-700
2017-03-14 14:04:47.789 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:03:49,4521,-300
2017-03-14 14:04:47.790 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:03:52,4521,-500
2017-03-14 14:04:47.790 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:03:55,4521,-2000
2017-03-14 14:04:47.790 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:03:57,4521,-400
2017-03-14 14:04:47.790 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:00,4521,-300
2017-03-14 14:04:47.791 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:00,4521,700
2017-03-14 14:04:47.791 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:00,4522,1100
2017-03-14 14:04:47.791 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:00,4522,700
2017-03-14 14:04:47.791 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:01,4520,-1200
2017-03-14 14:04:47.791 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:01,4518,-200
2017-03-14 14:04:47.792 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:01,4518,-500
2017-03-14 14:04:47.792 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:01,4518,-500
2017-03-14 14:04:47.792 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:01,4518,-10000
2017-03-14 14:04:47.792 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:01,4518,-300
2017-03-14 14:04:47.793 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:01,4518,-200
2017-03-14 14:04:47.793 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:01,4518,-3400
2017-03-14 14:04:47.793 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:09,4518,200
2017-03-14 14:04:47.794 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:10,4518,3100
2017-03-14 14:04:47.794 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:17,4518,400
2017-03-14 14:04:47.794 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:17,4518,600
2017-03-14 14:04:47.794 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:17,4520,100
2017-03-14 14:04:47.795 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:18,4516,-200
2017-03-14 14:04:47.795 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:20,4518,-100
2017-03-14 14:04:47.795 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:22,4519,100
2017-03-14 14:04:47.795 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:22,4520,100
2017-03-14 14:04:47.796 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:23,4518,-300
2017-03-14 14:04:47.796 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:23,4516,-1000
2017-03-14 14:04:47.796 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:23,4516,-1900
2017-03-14 14:04:47.796 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:23,4515,-100
2017-03-14 14:04:47.797 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:23,4515,-1700
2017-03-14 14:04:47.797 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:30,4516,1100
2017-03-14 14:04:52.328 [最新]接收到逐笔数据：要求的大单数据起始序号：10916
2017-03-14 14:04:52.328 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:40,4517,-1200
2017-03-14 14:04:53.935 [最新]接收到逐笔数据：要求的大单数据起始序号：10912
2017-03-14 14:04:53.935 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:23,4516,-1900
2017-03-14 14:04:53.935 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:23,4515,-100
2017-03-14 14:04:53.935 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:23,4515,-1700
2017-03-14 14:04:53.936 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:30,4516,1100
2017-03-14 14:04:53.936 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:40,4517,-1200
2017-03-14 14:04:53.936 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:42,4518,300
2017-03-14 14:04:57.891 [最新]接收到逐笔数据：要求的大单数据起始序号：10918
2017-03-14 14:04:57.891 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:47,4516,300
2017-03-14 14:04:57.891 [最新]接收到逐笔数据：sh600570,恒生电子,03-14 14:04:47,4518,100
