2017-03-14 14:04:48.563 [最新]接收到逐笔数据：要求的大单数据起始序号：2208
2017-03-14 14:04:48.563 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:02:12,637,-500
2017-03-14 14:04:48.564 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:02:29,637,-5000
2017-03-14 14:04:48.564 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:03:34,637,-6850
2017-03-14 14:04:48.564 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:03:34,637,-400
2017-03-14 14:04:48.564 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:03:34,637,-6750
2017-03-14 14:04:48.565 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:03:35,637,-6100
2017-03-14 14:04:48.565 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:03:38,638,600
2017-03-14 14:04:48.565 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:03:38,638,400
2017-03-14 14:04:48.565 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:03:45,637,-100
2017-03-14 14:04:48.565 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:03:58,637,-1000
2017-03-14 14:04:48.566 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:03:59,637,-300
2017-03-14 14:04:48.566 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:02,637,-600
2017-03-14 14:04:48.566 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-950
2017-03-14 14:04:48.567 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-100
2017-03-14 14:04:48.567 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-100
2017-03-14 14:04:48.567 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-5300
2017-03-14 14:04:48.567 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-100
2017-03-14 14:04:48.567 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-100
2017-03-14 14:04:48.568 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-100
2017-03-14 14:04:48.568 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-2000
2017-03-14 14:04:48.568 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-100
2017-03-14 14:04:48.568 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-100
2017-03-14 14:04:48.568 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-300
2017-03-14 14:04:48.569 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-200
2017-03-14 14:04:48.569 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-5000
2017-03-14 14:04:48.569 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-100
2017-03-14 14:04:48.569 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-100
2017-03-14 14:04:48.570 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-3600
2017-03-14 14:04:48.570 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-100
2017-03-14 14:04:48.570 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-100
2017-03-14 14:04:48.574 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:05,637,-100
2017-03-14 14:04:48.575 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:30,636,-3200
2017-03-14 14:04:50.296 [最新]接收到逐笔数据：要求的大单数据起始序号：2240
2017-03-14 14:04:50.296 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:35,636,-100
2017-03-14 14:04:50.296 [最新]接收到逐笔数据：sh600611,大众交通,03-14 14:04:36,637,500
